t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495766,7016.405228,6197.072462,11155.226197,0.0162
0.0080,0.928840,24846.544627,20501.920058,36904.384944,0.0392
0.0100,0.099789,30829.909250,27419.247966,49354.746127,0.0609
0.0120,1.315252,18926.236043,13844.369635,24921.180595,0.0879
0.0140,0.719597,34828.464353,29655.127158,53379.948481,0.1043
0.0160,1.348696,4547.829789,4377.113899,7880.153716,0.1142
0.0180,0.285224,31527.218016,31041.003591,55874.091689,0.1169
0.0200,1.203277,22527.416765,17649.572097,31770.433050,0.1296
0.0220,0.218986,34361.851004,31814.037760,57265.486954,0.1397
0.0240,0.961120,18925.276922,13831.195221,24897.112517,0.1600
0.0260,0.152790,28228.089315,25124.929213,45225.025373,0.1774
0.0280,1.222129,18925.585699,13824.623628,24885.544659,0.1995
0.0300,0.690075,31339.001053,25567.446747,46022.094220,0.2187
0.0320,0.953877,14663.000524,14139.539750,25452.125427,0.2291
0.0340,0.355019,33446.606108,30325.485926,54586.229687,0.2510
0.0360,1.127180,18878.609715,13999.579884,25200.370971,0.2561
0.0380,0.329039,26868.612681,26059.714190,46907.814580,0.2624
0.0400,1.034979,21234.974432,9203.841894,16567.950388,0.2777
0.0420,0.215954,31354.027975,28652.262359,51574.288200,0.2765
0.0440,1.092034,8855.970162,6176.795603,11119.324119,0.2778
0.0460,0.328517,32676.624264,26412.086092,47542.083482,0.2891
0.0480,1.029717,18942.600698,13806.237659,24852.257503,0.2961
0.0500,0.382288,30829.303325,28010.285727,50418.896598,0.3146
0.0520,1.053614,18877.617866,13987.693186,25178.901349,0.3158
0.0540,0.285195,26854.305549,26048.487116,46887.562004,0.3184
0.0560,1.099782,21230.399052,9190.103741,16543.286516,0.3310
0.0580,0.246974,31344.238205,28634.047246,51541.532017,0.3268
0.0600,1.031002,8851.666403,6178.566986,11122.451576,0.3238
0.0620,0.310600,32666.839415,26392.759754,47507.278157,0.3316
0.0640,1.082863,18942.170057,13797.191996,24836.028456,0.3364
0.0660,0.383274,34261.014703,31687.046014,57037.066100,0.3518
0.0680,0.988495,18943.042965,13796.964626,24835.524823,0.3492
0.0700,0.256247,22928.623827,22026.808128,39648.510877,0.3483
0.0720,1.157991,21226.400872,9180.447776,16525.963988,0.3585
0.0740,0.211731,34682.924507,32309.928420,58158.082887,0.3509
0.0760,1.281151,8143.553213,4931.976565,8878.838968,0.3550
0.0780,0.286840,38001.316225,28692.295168,51646.418142,0.3630
0.0800,1.343260,19573.748526,5965.806091,10739.794223,0.3684
0.0820,0.193622,34257.983725,31680.558864,57025.199577,0.3785
0.0840,0.218159,22524.983711,13513.342944,24324.235459,0.3858
0.0860,0.768083,14472.453258,13991.264349,25185.043911,0.3862
0.0880,0.806738,24416.415052,19822.095124,35680.577961,0.3972
0.0900,0.665399,28183.149270,25055.272935,45100.156682,0.4054
0.0920,0.768468,28174.030726,25046.385425,45084.262234,0.4243
0.0940,0.573535,28176.127992,25045.553183,45082.569264,0.4402
0.0960,0.744101,28169.588107,25039.178923,45071.266163,0.4669
0.0980,0.492027,28169.392977,25036.731325,45066.608411,0.4760
0.1000,0.917594,22804.592669,21893.529082,39409.269941,0.4872
0.1020,0.120418,29622.532372,22535.273899,40563.613437,0.5087
0.1040,0.849877,27529.737129,24392.272917,43906.941126,0.5133
0.1060,0.565012,21996.133955,21004.981093,37809.530979,0.5191
0.1080,0.727617,29602.065190,22381.627855,40287.657756,0.5363
0.1100,0.485399,28152.720815,25015.474924,45028.340263,0.5498
0.1120,0.717674,28147.181195,25010.901944,45020.341174,0.5654
0.1140,0.749028,31000.783770,27584.107277,49652.142127,0.5586
0.1160,1.059696,23834.580535,23274.466250,41895.098946,0.5643
0.1180,0.206739,31871.034167,24437.431286,43987.583053,0.5837
0.1200,0.766840,30395.759134,26975.935504,48557.450747,0.6013
0.1220,0.274852,27510.746945,24372.642581,43871.031497,0.6188
0.1240,0.914446,30380.413459,26965.348372,48538.541515,0.6164
0.1260,0.730126,23005.994319,22388.827350,40300.619355,0.6236
0.1280,0.720469,31894.222412,24333.572499,43801.150967,0.6382
0.1300,0.650545,34221.675855,30561.725327,55011.756134,0.6354
0.1320,1.571919,20843.180644,20842.934863,37518.854673,0.6353
0.1340,0.676424,29288.143268,24891.257455,44804.939843,0.6513
0.1360,1.115520,22969.575617,17885.599199,32195.194079,0.6646
0.1380,0.668495,24482.489913,20680.693449,37225.916703,0.6781
0.1400,1.316116,36562.686441,33654.810422,60579.974875,0.6853
0.1420,0.720621,27718.257018,23714.724603,42687.224907,0.7042
0.1440,1.174892,18931.598988,13605.915169,24491.822197,0.7063
0.1460,1.245334,17660.154419,16541.328570,29775.636760,0.7091
0.1480,0.771517,35643.312415,30111.193781,54200.920323,0.7236
0.1500,1.049282,24622.920311,21185.629690,38135.182723,0.7358
0.1520,0.666651,18556.404875,13725.274277,24706.160350,0.7593
0.1540,1.046552,24613.778661,21176.400008,38118.566566,0.7638
0.1560,0.935444,26639.094410,25822.997169,46482.330348,0.7712
0.1580,0.541084,22483.850717,11576.556498,20838.342780,0.7903
0.1600,0.962078,18585.779381,13282.597733,23909.637998,0.7918
0.1620,0.952041,8420.330919,5764.140150,10376.404310,0.7956
0.1640,0.611167,20954.666578,8932.393903,16078.920192,0.8100
0.1660,0.834233,18557.900248,13737.614858,24728.540977,0.8279
0.1680,1.012394,18455.748121,5135.988647,9245.791958,0.8418
