t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0292
0.0060,0.394144,14064.095056,4926.793975,8868.623299,0.0461
0.0080,0.561625,39252.164206,13972.795681,25151.593851,0.0927
0.0100,0.455780,39451.647446,14675.693187,26416.703516,0.1212
0.0120,0.641633,37965.047267,12620.607192,22717.734578,0.1741
0.0140,0.406796,38004.728596,12620.218854,22716.800734,0.2087
0.0160,0.742512,38006.372222,12614.134914,22706.185358,0.2691
0.0180,0.416682,38043.861456,12605.991773,22691.201873,0.3079
0.0200,0.723379,5205.983624,4840.312840,8713.286491,0.3296
0.0220,0.535759,40474.854491,13052.996806,23495.930009,0.3759
0.0240,0.670231,39138.991738,13181.540312,23727.442793,0.4049
0.0260,0.637378,39123.659289,13163.240391,23694.470082,0.4592
0.0280,0.658745,39141.394839,13135.840385,23645.171437,0.4939
0.0300,0.644136,3968.091897,3844.846037,6921.367002,0.5079
0.0320,0.726850,39346.962607,12101.814789,21783.993470,0.5510
0.0340,0.563533,38147.241801,12585.985831,22655.338028,0.5715
0.0360,0.927253,4981.050213,4628.158979,8331.613415,0.5740
0.0380,0.564225,40398.182468,12840.918856,23114.218166,0.6035
0.0400,0.820096,39100.273714,13001.404211,23403.347675,0.6131
0.0420,0.926883,3944.603428,3817.970796,6873.274316,0.6019
0.0440,0.764287,39394.643427,12173.219514,21912.559412,0.6209
0.0460,0.769613,38201.156162,12642.425004,22757.134620,0.6190
0.0480,0.754723,38196.198307,12651.162218,22772.846716,0.6474
0.0500,0.654164,38225.124246,12665.595924,22798.726829,0.6530
0.0520,1.017511,4842.398221,4495.669255,8093.222170,0.6706
0.0540,1.409926,49301.878214,27299.942056,49141.305627,0.7299
0.0560,1.178994,48455.235982,27781.742919,50008.316248,0.7691
0.0580,0.842553,3945.341066,3817.285947,6871.957257,0.7852
0.0600,1.262966,39475.032915,12192.845364,21948.384621,0.8345
0.0620,0.862634,38301.909375,12598.076584,22677.400485,0.8597
0.0640,1.315076,38302.710545,12592.649960,22668.085004,0.9189
0.0660,0.892913,38339.596989,12582.076493,22648.630600,0.9540
0.0680,0.912196,4628.749456,4302.257804,7744.976244,0.9792
0.0700,0.969978,45758.941698,23642.000197,42556.570333,1.0277
0.0720,0.971769,54024.454678,37673.327139,67812.960619,1.0622
0.0740,0.403997,33976.426118,33967.789369,61142.424862,1.0638
0.0760,1.070055,49580.728215,34203.597662,61567.545847,1.0957
0.0780,0.811326,41264.172202,21157.218648,38083.804893,1.1039
0.0800,1.047761,4615.405328,4321.060000,7778.955762,1.1014
0.0820,0.554907,45711.807882,23622.987353,42521.932142,1.1238
0.0840,1.029248,54036.547100,37670.801469,67808.471892,1.1312
0.0860,0.665206,54041.613628,37705.700691,67870.926450,1.1633
0.0880,1.036569,54067.505527,37708.990606,67877.219659,1.1810
0.0900,0.384087,34013.584392,34004.476093,61208.441054,1.1782
0.0920,0.375657,42270.623973,20867.389238,37561.676285,1.2107
0.0940,0.240694,38462.484552,12598.098327,22676.817683,1.2187
0.0960,0.408972,4420.694733,4111.778992,7401.611157,1.2062
0.0980,0.222278,40184.250595,12139.845354,21851.943916,1.2250
0.1000,0.229101,39007.983115,12365.061633,22257.340039,1.2228
0.1020,0.587387,3993.100545,3873.126688,6972.215426,1.2075
0.1040,1.262388,36485.683920,4232.427771,7619.632376,1.2121
0.1060,1.619230,35081.702350,3931.735578,7078.743270,1.1938
0.1080,0.969661,38444.671979,12665.550882,22798.961249,1.2091
0.1100,1.336662,38476.007718,12685.177503,22834.656168,1.2016
0.1120,0.703731,38470.761846,12691.416340,22845.253143,1.2271
0.1140,1.077379,38500.121992,12705.945670,22871.779584,1.2299
0.1160,0.467569,38492.977108,12710.247512,22878.913089,1.2653
0.1180,0.840476,38520.385024,12716.874903,22891.215301,1.2769
0.1200,1.169115,4402.155720,4101.585649,7384.023283,1.2696
0.1220,0.558275,40124.785062,12072.452534,21730.972835,1.2917
0.1240,0.935814,38945.963167,12337.007975,22207.550168,1.2946
0.1260,0.328491,38927.501370,12335.435227,22204.111899,1.3268
0.1280,0.731859,38942.234731,12330.951719,22196.444954,1.3386
0.1300,1.038015,4142.169485,4011.816493,7222.307703,1.3282
0.1320,0.502187,39713.341701,12492.513396,22487.026299,1.3508
0.1340,0.808218,38553.761950,12805.045911,23049.890858,1.3499
0.1360,1.157062,4284.326305,3979.581531,7164.403817,1.3614
0.1380,0.826808,48851.955396,26531.538980,47757.596973,1.4165
0.1400,0.659037,48062.926662,27022.521681,48641.198063,1.4511
0.1420,0.923559,38878.388001,12189.378131,21941.804194,1.5159
0.1440,0.717348,38901.233929,12158.733847,21886.438273,1.5596
0.1460,0.440308,4077.389614,3944.149118,7099.908721,1.5790
0.1480,0.815795,39770.184199,12470.188131,22447.154432,1.6331
0.1500,0.461976,38632.246011,12736.750301,22926.612518,1.6625
0.1520,0.642411,4084.373577,3791.242961,6824.879741,1.6831
0.1540,0.915623,45494.417718,23222.565861,41801.534173,1.7268
0.1560,0.671154,54032.059721,37682.300066,67828.811273,1.7568
0.1580,0.711519,34010.472110,34002.649037,61205.479786,1.7669
0.1600,0.577117,42292.840706,20679.066846,37222.897440,1.8118
0.1620,0.557274,38661.638121,12723.598528,22903.034623,1.8181
0.1640,0.865823,41119.764782,20503.957568,36907.989445,1.8678
0.1660,0.509784,48497.620587,33795.155681,60831.790009,1.8972
0.1680,0.412076,18771.571319,18621.214445,33518.598077,1.9059
0.1700,0.487594,39975.823586,11582.631133,20849.223632,1.9456
0.1720,0.233316,38855.370955,11884.683558,21392.663721,1.9638
0.1740,0.584734,3977.818890,3844.136257,6920.029997,1.9583
0.1760,0.162087,39811.910492,12506.811901,22512.423509,1.9870
0.1780,0.384735,38685.835626,12756.256788,22961.646954,1.9917
0.1800,0.279465,38673.992040,12759.007367,22966.492726,2.0302
0.1820,0.204321,38694.185393,12766.483346,22979.874343,2.0441
0.1840,0.478699,3871.544975,3578.553516,6441.875028,2.0479
0.1860,1.232470,37700.409881,8316.820434,14971.509251,2.0678
0.1880,1.511414,36373.993049,8299.062274,14939.823508,2.0679
0.1900,0.947590,38756.114436,11887.735782,21398.871998,2.0985
0.1920,1.245368,38773.643572,11879.723936,21384.748453,2.1092
0.1940,0.685955,38755.401920,11876.570288,21378.512473,2.1502
0.1960,1.004353,38771.357605,11864.504320,21357.112128,2.1711
0.1980,0.446130,38751.405187,11860.127616,21348.675840,2.2225
0.2000,0.788765,38765.819814,11845.197232,21322.143783,2.2529
0.2020,1.139296,4061.178108,3911.522286,7041.879411,2.2601
0.2040,0.528477,39871.013310,12588.722596,22660.229149,2.3016
0.2060,0.905906,38715.954023,12827.323523,23090.088247,2.3189
0.2080,1.218725,3737.301039,3440.869432,6194.783703,2.3163
0.2100,0.626678,39843.928674,11409.181945,20537.154180,2.3451
0.2120,0.987389,38702.939151,11772.800165,21192.027685,2.3531
0.2140,1.311770,3959.937446,3798.381834,6838.399071,2.3378
0.2160,0.710918,39882.785298,12668.420583,22803.867968,2.3578
0.2180,1.063261,38719.446822,12931.804956,23278.312183,2.3539
0.2200,0.510211,38707.105347,12947.660687,23306.299447,2.3853
0.2220,0.839770,38727.120038,12965.357858,23338.483914,2.3926
0.2240,1.163704,3616.757851,3303.513746,5947.488448,2.3934
0.2260,1.023983,45164.183855,22806.741512,41053.158704,2.4172
0.2280,0.981319,53766.372139,37529.581851,67554.228651,2.4151
0.2300,1.270003,18803.981480,18801.425722,33843.836302,2.4224
0.2320,0.931223,49482.133144,28313.443443,50965.129419,2.4926
0.2340,0.739236,50457.461914,32696.138059,58853.787743,2.5285
0.2360,1.043779,48033.684906,33189.339210,59741.854357,2.6076
0.2380,0.756656,48043.367392,33153.438778,59676.946456,2.6528
