t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495818,7016.856837,6197.728358,11156.406862,0.0163
0.0080,0.865983,24516.536749,20095.023845,36171.908904,0.0391
0.0100,0.155267,30252.121498,26763.773929,48174.948338,0.0558
0.0120,0.341092,13724.742399,12681.835393,22827.644800,0.0781
0.0140,0.735273,19049.270717,6056.212819,10901.918347,0.1107
0.0160,0.341747,19093.069657,14176.098045,25517.318227,0.1267
0.0180,0.151905,9038.481264,7541.438511,13574.741225,0.1446
0.0200,0.737266,19967.044694,9102.732674,16385.656079,0.1728
0.0220,0.179445,18964.948456,14007.456713,25213.601528,0.1833
0.0240,0.209493,9212.926374,6530.450102,11755.019676,0.1952
0.0260,0.626304,21511.801176,9505.666869,17110.826668,0.2176
0.0280,0.214672,19095.967383,14163.834473,25495.116725,0.2364
0.0300,0.663446,19089.346667,14157.866241,25484.822679,0.2656
0.0320,0.291777,18396.376794,13218.340859,23793.305323,0.2772
0.0340,0.457737,8124.927858,4886.375142,8795.932992,0.2904
0.0360,0.650836,21562.928392,9639.932575,17352.529471,0.3135
0.0380,0.205560,18417.067692,13335.697292,24004.460685,0.3194
0.0400,0.350195,8812.616269,5683.252484,10230.204667,0.3263
0.0420,0.571803,21600.312855,9078.218085,16341.364356,0.3442
0.0440,0.330490,18920.637621,13625.139236,24525.581115,0.3439
0.0460,0.219112,8471.864925,5814.462671,10466.251919,0.3450
0.0480,0.479037,20879.661237,8346.906132,15024.910074,0.3564
0.0500,0.199491,18959.813840,13965.198396,25137.556604,0.3648
0.0520,0.527139,18951.743916,13956.955200,25123.046500,0.3835
0.0540,0.192329,18958.924206,13958.909817,25126.230000,0.3846
0.0560,0.097095,9146.234922,6467.766597,11642.076970,0.3873
0.0580,0.526599,21477.187450,9403.475415,16926.782345,0.4004
0.0600,0.048033,19097.080393,14129.368005,25432.910443,0.3959
0.0620,0.275159,9603.812799,7120.322117,12816.854968,0.3930
0.0640,0.429803,21550.846982,9608.908631,17296.465338,0.4005
0.0660,0.244587,18958.129558,13951.054394,25112.142496,0.3905
0.0680,0.190827,9203.880036,6560.559200,11809.197388,0.3821
0.0700,0.462692,21494.936208,9459.035699,17026.726950,0.3842
0.0720,0.132501,19095.763960,14121.727321,25419.241679,0.3830
0.0740,0.506182,19087.612791,14113.960801,25405.635623,0.3924
0.0760,0.080577,19095.115785,14117.874003,25412.253782,0.3842
0.0780,0.301409,9602.067046,7127.060175,12829.009725,0.3776
0.0800,0.405366,21544.930549,9599.254437,17279.063353,0.3815
0.0820,0.265579,18956.873794,13942.793042,25097.293055,0.3680
0.0840,0.215679,9204.222202,6570.332921,11826.814937,0.3708
0.0860,0.101206,26106.476036,3305.928632,5950.772744,0.3682
0.0880,0.592135,24850.950539,9826.478710,17688.253813,0.3619
0.0900,0.105327,21515.308027,14049.759358,25289.672171,0.3662
0.0920,0.508330,18736.498427,13560.159689,24408.795770,0.3675
0.0940,0.136384,19082.824218,14099.254468,25378.794426,0.3796
0.0960,0.426107,19088.855447,14102.122708,25384.246981,0.3741
0.0980,0.513411,9596.209073,7128.628154,12832.044089,0.3799
0.1000,0.435305,24578.505109,13517.168135,24331.337949,0.3910
0.1020,0.448062,27128.793578,22378.658864,40282.034018,0.3804
0.1040,0.512866,11521.279633,10285.449342,18514.321681,0.3810
0.1060,0.447864,24523.595832,13397.933416,24116.728014,0.3963
0.1080,0.103486,23069.698228,18243.937896,32839.191698,0.4084
0.1100,0.495646,19081.495386,14087.629361,25358.228495,0.4215
0.1120,0.395323,23053.849051,18228.308897,32811.351337,0.4128
0.1140,0.504480,11830.446727,10640.789279,19153.925181,0.4154
0.1160,0.453196,24572.470519,13501.621354,24303.371633,0.4327
0.1180,0.176906,22961.326762,18110.906066,32599.807826,0.4323
0.1200,0.156061,9196.133010,6583.850524,11851.087004,0.4335
0.1220,0.433838,21366.367621,9114.783755,16407.044596,0.4452
0.1240,0.117657,18944.141405,13862.634897,24952.860472,0.4536
0.1260,0.482879,19080.547815,14074.412203,25334.424845,0.4631
0.1280,0.405282,23051.718802,18212.975735,32783.761605,0.4602
0.1300,0.206170,15130.843984,14615.247935,26307.652453,0.4634
0.1320,0.431104,19081.350424,6200.169864,11160.736859,0.4768
0.1340,0.175570,18950.505069,13898.749678,25017.924990,0.4728
0.1360,0.176082,9194.357873,6592.191886,11866.121476,0.4700
0.1380,0.414479,21107.590597,8199.947179,14760.319400,0.4779
0.1400,0.119649,18890.400978,13521.176012,24338.236471,0.4681
0.1420,0.244318,8431.221959,5820.093541,10476.412691,0.4601
0.1440,0.356608,20957.112872,8857.525266,15943.902086,0.4625
0.1460,0.190385,18592.491787,13678.659644,24621.777744,0.4618
0.1480,0.413400,18585.392974,13672.646359,24611.176845,0.4716
0.1500,0.145203,18593.039021,13676.857193,24618.488150,0.4637
0.1520,0.201222,9201.610157,6310.969343,11359.946039,0.4576
0.1540,0.379210,21534.826625,8932.002925,16077.984476,0.4618
0.1560,0.149644,18885.615813,13509.987005,24318.126252,0.4485
0.1580,0.231556,8427.801855,5821.460435,10478.860340,0.4429
0.1600,0.410157,24358.739923,3153.205470,5676.180004,0.4391
0.1620,0.884128,18462.622303,5078.043545,9141.362510,0.4326
0.1640,0.296163,18579.729664,13666.581899,24600.143581,0.4308
0.1660,0.049531,18469.046397,5087.664716,9157.846020,0.4206
0.1680,0.167665,5785.668451,5577.967280,10040.508768,0.4179
