name,kp_scale,kd_scale,task_kp,time_scale,use_task_pid,use_wrist_pid,sim_time,risk_integral,tilt_integral,reach_integral,score
44,1.0,1.2,0.6,0.5,True,False,11.2000,319620.516910,189.226420,0.308650,152684950.450170
45,1.0,1.2,0.6,1.0,True,False,5.6020,159701.631036,94.242514,0.272167,76210462.440500
46,1.0,1.2,0.6,1.5,True,False,3.7340,107968.942413,62.826983,0.249231,51263702.335978
47,1.0,1.2,0.6,2.0,True,False,2.8020,80210.159919,47.068232,0.230060,38206524.729287
48,1.2,0.8,0.4,0.5,True,False,11.2000,325416.348978,184.359399,0.195342,152952263.073939
49,1.2,0.8,0.4,1.0,True,False,5.6020,157365.984111,91.917817,0.170401,74802182.571183
50,1.2,0.8,0.4,1.5,True,False,3.7340,109587.140912,61.331851,0.158789,51291578.054245
51,1.2,0.8,0.4,2.0,True,False,2.8020,78864.080870,46.108315,0.149240,37506643.835257
52,1.2,0.8,0.6,0.5,True,False,11.2000,315506.155307,184.527540,0.184649,150028578.094917
53,1.2,0.8,0.6,1.0,True,False,5.6020,157134.031164,92.197128,0.159914,74815341.258359
54,1.2,0.8,0.6,1.5,True,False,3.7340,107780.905273,61.536326,0.149178,50810088.717544
55,1.2,0.8,0.6,2.0,True,False,2.8020,79886.103354,46.399586,0.141789,37899886.769627
56,1.2,1.0,0.4,0.5,True,False,11.2000,329788.063538,184.767516,0.235115,154390189.787663
57,1.2,1.0,0.4,1.0,True,False,5.6020,160831.418731,92.040786,0.207133,75882376.978293
58,1.2,1.0,0.4,1.5,True,False,3.7340,106413.378040,61.258588,0.191619,50320753.145298
59,1.2,1.0,0.4,2.0,True,False,2.8020,79478.296682,46.192899,0.179587,37719318.712908
60,1.2,1.0,0.6,0.5,True,False,11.2000,321651.375838,185.087267,0.220116,152043609.057757
61,1.2,1.0,0.6,1.0,True,False,5.6020,163806.507295,92.270484,0.195580,76842657.727234
62,1.2,1.0,0.6,1.5,True,False,3.7340,105258.722159,61.585680,0.182047,50071526.846468
63,1.2,1.0,0.6,2.0,True,False,2.8020,81833.910684,46.318738,0.171222,38462918.083387
64,1.2,1.2,0.4,0.5,True,False,11.2000,320108.559030,185.149452,0.274207,151604828.320322
65,1.2,1.2,0.4,1.0,True,False,5.6020,159258.512556,92.083903,0.242483,75426975.079138
66,1.2,1.2,0.4,1.5,True,False,3.7340,105644.180293,61.507368,0.225183,50167984.367926
67,1.2,1.2,0.4,2.0,True,False,2.8020,79788.386259,46.182135,0.206906,37811848.176520
68,1.2,1.2,0.6,0.5,True,False,11.2000,323886.063809,185.513731,0.262523,152846195.093480
69,1.2,1.2,0.6,1.0,True,False,5.6020,161030.287454,92.443177,0.228884,76064929.948699
70,1.2,1.2,0.6,1.5,True,False,3.7340,106028.886532,61.611697,0.211143,50313290.776790
71,1.2,1.2,0.6,2.0,True,False,2.8020,78803.778622,46.413636,0.198426,37585067.947919
