t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495766,7016.405228,6197.071852,11155.225100,0.0163
0.0080,0.865314,24483.757460,20054.506493,36098.977001,0.0391
0.0100,0.155936,30221.295651,26728.031538,48110.612704,0.0608
0.0120,0.581813,20349.927742,15820.756468,28477.943455,0.0870
0.0140,0.723174,19119.386607,6290.375208,11323.398548,0.1041
0.0160,0.632881,6509.623724,6391.970397,11506.179595,0.1140
0.0180,0.290115,11511.503633,10217.169479,18391.195177,0.1166
0.0200,0.369481,22976.771495,18217.327389,32791.558781,0.1297
0.0220,0.219156,18964.756543,14014.908368,25227.054219,0.1396
0.0240,0.416113,18958.096814,14008.462948,25215.649420,0.1600
0.0260,0.154575,18963.681086,14008.618502,25215.667878,0.1629
0.0280,0.460669,8678.930338,5777.153766,10399.337448,0.1674
0.0300,0.662660,21150.350617,8712.241098,15682.696636,0.1828
0.0320,0.397405,19098.302026,14170.323540,25506.979776,0.1948
0.0340,0.668042,19092.386997,14164.733079,25497.187584,0.2175
0.0360,0.343527,19097.719248,14164.810864,25497.003082,0.2226
0.0380,0.564917,9602.276282,7088.599962,12760.044849,0.2296
0.0400,0.481588,21566.701362,9660.529174,17389.434102,0.2459
0.0420,0.224462,18339.789759,13286.180778,23915.349862,0.2455
0.0440,0.407280,9273.254245,6311.406710,11360.939358,0.2512
0.0460,0.547253,23251.578135,11359.803810,20448.194110,0.2704
0.0480,0.304167,21142.874388,16013.899944,28825.324067,0.2767
0.0500,0.222208,8622.017990,8574.129426,15433.655175,0.2737
0.0520,0.330782,8749.238545,4685.400694,8434.052030,0.2776
0.0540,0.214282,25202.041727,4163.326783,7494.202491,0.2838
0.0560,0.695358,19136.708565,5370.402281,9667.419463,0.2865
0.0580,0.150188,18912.854749,13629.706254,24533.621445,0.2945
0.0600,0.363034,19143.308234,5377.347289,9679.588153,0.2963
0.0620,0.307328,9705.787900,9572.993691,17231.695972,0.2958
0.0640,0.435015,21158.167979,13285.633778,23914.575816,0.3054
0.0660,0.243676,18619.715043,13792.922036,24827.503340,0.3123
0.0680,0.473772,18614.215318,13788.968406,24820.616903,0.3293
0.0700,0.188150,18620.571418,13791.712898,24825.271366,0.3293
0.0720,0.370173,9261.438186,6309.567133,11357.591012,0.3303
0.0740,0.371044,21599.410654,9066.876919,16320.749498,0.3425
0.0760,0.296281,18845.910467,13530.792422,24355.722641,0.3387
0.0780,0.538770,5411.917115,3278.714377,5902.224650,0.3333
0.0800,0.093978,20831.443649,11655.246007,20979.536791,0.3386
0.0820,0.453839,18965.360979,13988.056415,25178.955387,0.3415
0.0840,0.294254,18331.848267,13262.307284,23872.447365,0.3547
0.0860,0.373536,18618.542289,13785.071724,24813.502639,0.3643
0.0880,0.217107,17846.354419,13049.898358,23490.034152,0.3843
0.0900,0.319850,18492.065964,13784.090134,24811.682092,0.3874
0.0920,0.471204,8272.913689,4955.475633,8920.327342,0.3918
0.0940,0.224641,21595.461131,9050.174680,16290.539065,0.4068
0.0960,0.324288,18550.472046,13238.582826,23829.773375,0.4091
0.0980,0.998329,5860.418719,5389.782317,9702.606499,0.4063
0.1000,0.392928,22264.186595,16323.912342,29383.435143,0.4144
0.1020,0.875097,18963.344866,13980.191258,25165.219361,0.4198
0.1040,0.275610,18959.826104,13978.913754,25162.320367,0.4361
0.1060,0.762649,18964.063583,13977.888423,25160.961810,0.4495
0.1080,0.170577,18961.606442,13977.487501,25159.648079,0.4737
0.1100,0.659971,18965.115601,13977.720879,25160.557554,0.4806
0.1120,0.724142,9220.959892,6568.275724,11823.620444,0.4894
0.1140,0.202903,21498.332762,9449.715670,17009.691108,0.5090
0.1160,0.622123,19079.641740,14103.550487,25387.013000,0.5257
0.1180,0.158415,19076.641243,14102.161263,25384.048689,0.5531
0.1200,0.528637,19079.439013,14101.212070,25382.710363,0.5632
0.1220,0.629495,9570.239225,7080.354830,12745.268190,0.5750
0.1240,0.025583,21553.194351,9630.255102,17334.484767,0.5977
0.1260,0.539940,18970.286691,13981.244779,25166.780542,0.6029
0.1280,0.593403,9226.761009,6578.428293,11841.764329,0.6099
0.1300,0.193757,21498.544853,9447.009203,17004.810323,0.6278
0.1320,0.501593,19079.316603,14098.149354,25377.170430,0.6486
0.1340,0.681783,19057.354155,6024.670579,10845.088825,0.6562
0.1360,0.735224,24918.120539,4318.388995,7773.835415,0.6580
0.1380,0.590983,5714.487062,5640.993339,10154.378993,0.6707
0.1400,0.712820,24540.927625,6663.280752,11994.618173,0.6856
0.1420,1.191288,19092.896949,6260.041277,11269.265587,0.6978
0.1440,0.567803,18968.978629,13989.573969,25181.800948,0.7209
0.1460,1.053954,18337.953564,13258.900317,23867.074524,0.7414
0.1480,0.434232,18614.405663,13779.646877,24803.798610,0.7637
0.1500,1.273398,22441.635645,17621.348876,31719.701375,0.7647
0.1520,1.309181,11541.668052,10286.619116,18517.223590,0.7771
0.1540,0.366498,24244.853526,12635.606703,22744.458562,0.7955
0.1560,1.172607,27116.502427,22174.314390,39914.938509,0.7926
0.1580,1.231379,10934.587243,9768.593348,17584.699405,0.8012
0.1600,0.267097,24104.841641,13135.219404,23643.662024,0.8158
0.1620,1.101389,26875.441683,22315.467106,40168.942180,0.8234
0.1640,0.489414,22676.319562,18041.192925,32474.636678,0.8421
0.1660,0.966600,18614.212638,13797.277604,24836.066287,0.8438
0.1680,1.026046,9254.055283,6288.371318,11320.094419,0.8534
