t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495805,7016.742268,6197.568156,11156.118487,0.0163
0.0080,0.930511,24881.068902,20544.245918,36980.573163,0.0392
0.0100,0.098567,30865.625554,27459.665559,49427.496573,0.0610
0.0120,1.310491,18934.647199,13846.335418,24924.714243,0.0879
0.0140,0.719600,34760.501642,29562.585707,53213.373872,0.1044
0.0160,1.354056,4510.882867,4344.492331,7821.440252,0.1143
0.0180,0.285279,31624.889780,31143.817510,56059.156798,0.1170
0.0200,1.198630,22566.751982,17683.500511,31831.499550,0.1297
0.0220,0.219311,34299.627136,31738.399233,57129.337931,0.1399
0.0240,0.966010,18942.277178,13835.302303,24904.510156,0.1602
0.0260,0.152974,28326.351750,25226.402305,45407.677124,0.1633
0.0280,1.163859,8823.888153,6139.138786,11051.613674,0.1774
0.0300,0.715595,34705.657452,28042.395532,50477.027552,0.1970
0.0320,0.951888,27126.722306,22331.196605,40197.105777,0.1968
0.0340,0.154347,27150.233626,27143.799179,48858.992870,0.2105
0.0360,1.331998,19767.021597,11510.948846,20721.039921,0.2393
0.0380,0.330526,33445.286422,30318.286689,54573.246567,0.2501
0.0400,1.004429,9441.384650,6730.591205,12116.068598,0.2608
0.0420,0.710551,32859.826610,26559.619168,47808.025052,0.2828
0.0440,1.067503,18817.966970,13927.366204,25070.326670,0.2876
0.0460,0.164056,26764.870148,25950.597312,46711.239218,0.2935
0.0480,1.215715,21277.896350,9258.869035,16667.179979,0.3088
0.0500,0.179303,31448.074434,28739.140873,51730.632873,0.3073
0.0520,1.000633,8814.004807,6149.053939,11069.297723,0.3072
0.0540,0.571551,32571.307021,26292.380122,47326.855771,0.3175
0.0560,1.055043,18923.487081,13786.246849,24816.299371,0.3244
0.0580,0.629925,30877.961036,28069.633550,50525.970314,0.3421
0.0600,1.001071,18815.486571,13908.006263,25035.412344,0.3413
0.0620,0.099971,26754.302244,25945.783597,46702.510445,0.3423
0.0640,1.218746,21270.080610,9237.405027,16628.547796,0.3542
0.0660,0.135407,34788.369800,32411.165679,58340.233629,0.3482
0.0680,1.271454,8147.221348,4978.773276,8963.063351,0.3494
0.0700,0.266280,37530.788689,28589.811424,51461.926843,0.3525
0.0720,1.314694,18470.636682,3908.696740,7036.968827,0.3531
0.0740,0.184404,34325.581890,31758.187500,57164.921905,0.3583
0.0760,1.249468,18476.146411,3917.882520,7053.438005,0.3548
0.0780,0.005722,29473.824616,29438.427939,52989.176012,0.3586
0.0800,1.156494,24557.176111,1113.845248,2006.077940,0.3644
0.0820,0.673532,34384.281131,29378.116315,52881.282899,0.3674
0.0840,1.232233,18446.785242,13238.479188,23830.494770,0.3748
0.0860,0.172686,34711.897509,29509.396918,53117.087138,0.3735
0.0880,1.204299,4513.696470,4345.555911,7823.204940,0.3802
0.0900,0.125242,38717.082046,29807.876058,53654.302146,0.3884
0.0920,1.355936,18464.466294,3884.133623,6992.796458,0.3931
0.0940,0.029951,34675.690152,32294.151016,58129.501779,0.4030
0.0960,0.912100,18744.081379,5530.054441,9955.010093,0.4102
0.0980,0.627176,25787.866125,25493.535936,45888.991862,0.4101
0.1000,0.131255,24481.214247,19866.760182,35760.299582,0.4207
0.1020,0.533214,18933.812422,13585.011947,24453.554718,0.4283
0.1040,0.861039,20736.366968,16099.705495,28980.330929,0.4409
0.1060,0.296507,27956.210813,21247.396750,38245.610658,0.4504
0.1080,0.575151,16483.426097,15940.690242,28693.817587,0.4527
0.1100,0.030477,22603.094269,17929.581377,32273.276955,0.4656
0.1120,0.966478,20091.291468,15617.140394,28111.819186,0.4617
0.1140,0.551827,22093.708007,21103.907503,37987.585333,0.4590
0.1160,0.128208,22923.290913,12022.788844,21641.148128,0.4670
0.1180,0.563758,18589.890508,13239.699504,23832.022864,0.4720
0.1200,0.881586,25272.826434,21801.142397,39242.937900,0.4881
0.1220,0.383669,31406.261276,28670.390263,51607.086142,0.4863
0.1240,0.482171,12187.807213,10486.093912,18875.451213,0.4864
0.1260,0.317222,20829.397425,8283.823780,14911.200026,0.4969
0.1280,0.953117,24886.686384,21260.151955,38269.226636,0.4908
0.1300,0.470519,25924.719341,25124.896125,45225.283543,0.4952
0.1320,0.469969,25823.103313,15359.197447,27647.025373,0.5049
0.1340,0.500940,26890.736727,21952.174115,39514.414348,0.4928
0.1360,1.025263,20492.302688,19805.200314,35650.385828,0.4925
0.1380,0.527128,38014.926415,31869.451705,57365.540198,0.4970
0.1400,0.426985,31541.725475,27514.208795,49526.002815,0.5037
0.1420,0.573952,27115.001512,22384.484428,40292.645924,0.5156
0.1440,0.968955,31544.404515,27519.787540,49536.586527,0.5065
0.1460,0.519140,30609.292115,30199.242004,54359.154747,0.5077
0.1480,0.622785,27357.283846,17991.903976,32386.049943,0.5156
0.1500,0.415495,26657.646175,21657.488572,38983.894926,0.5099
0.1520,1.106020,15156.441895,14685.774625,26435.500346,0.5139
0.1540,0.424325,34590.413870,32541.190251,58574.566777,0.5324
0.1560,0.425033,25723.847217,21553.167503,38796.126539,0.5333
0.1580,0.337995,9197.413628,6236.039203,11225.208560,0.5357
0.1600,1.024405,24637.518132,15220.283970,27397.535551,0.5491
0.1620,0.311402,34728.675691,32329.880505,58194.096311,0.5591
0.1640,0.511099,22727.184654,18680.463692,33625.345744,0.5795
0.1660,0.254141,18924.675250,13545.773683,24382.646771,0.5825
0.1680,0.696832,12172.989096,10479.023399,18862.938951,0.5930
