t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495734,7016.177370,6196.679265,11154.518412,0.0164
0.0080,0.834823,24291.347714,19815.645046,35668.995907,0.0391
0.0100,0.186857,29907.126430,26369.754903,47465.745683,0.0608
0.0120,0.600682,20312.925122,15781.509852,28407.318416,0.0870
0.0140,0.727224,19117.772920,6345.070976,11421.854980,0.1041
0.0160,0.645324,6605.328618,6485.410622,11674.384444,0.1140
0.0180,0.296752,11531.990801,10229.382155,18413.184632,0.1165
0.0200,0.388392,22958.428696,18210.298982,32778.926559,0.1296
0.0220,0.225141,18951.281073,14015.805335,25228.674744,0.1394
0.0240,0.430457,18944.659466,14009.440839,25217.423967,0.1598
0.0260,0.159993,18950.289459,14006.974083,25212.713342,0.1770
0.0280,0.473884,18944.634770,14001.369203,25202.938449,0.2047
0.0300,0.100744,18949.555066,14000.188952,25200.440858,0.2149
0.0320,0.278991,9246.666715,6559.867236,11808.040016,0.2266
0.0340,0.378244,21565.395410,9581.033106,17246.237835,0.2489
0.0360,0.231081,19159.897737,14233.161181,25619.921207,0.2536
0.0380,0.234431,9666.599059,7188.306675,12939.186445,0.2597
0.0400,0.601372,21256.567187,8906.911012,16033.041193,0.2768
0.0420,0.673525,18784.015753,13738.194779,24729.424127,0.2909
0.0440,0.605471,18940.055823,13983.572184,25171.035401,0.3153
0.0460,0.596369,18866.469970,13887.597583,24998.272018,0.3225
0.0480,0.445554,9109.623614,6360.763885,11449.820546,0.3299
0.0500,0.449503,21201.559370,8375.874201,15077.023065,0.3487
0.0520,0.400003,18948.877148,13648.809715,24568.257490,0.3493
0.0540,0.342882,8443.412097,5786.687755,10416.380841,0.3522
0.0560,0.510890,20966.046585,8928.695898,16072.163506,0.3651
0.0580,0.284444,18566.113633,13733.526472,24720.632094,0.3753
0.0600,0.538947,18561.432491,13730.296403,24715.072472,0.3955
0.0620,0.235394,18567.618896,13732.318499,24718.408693,0.3988
0.0640,0.416871,9218.979346,6227.211297,11209.397206,0.4090
0.0660,0.426486,25206.006949,4078.255717,7341.286776,0.4217
0.0680,0.917070,19148.444568,5322.778100,9581.917651,0.4311
0.0700,0.315101,18939.013647,13628.489369,24531.595966,0.4458
0.0720,0.325020,19158.201218,5330.773386,9595.717115,0.4575
0.0740,0.867015,14810.924725,14159.926611,25488.734914,0.4626
0.0760,0.400278,22618.782893,17970.453099,32347.215855,0.4781
0.0780,0.753297,18564.648801,13723.038670,24702.222904,0.4911
0.0800,0.329049,18561.266082,13721.867013,24699.689673,0.5145
0.0820,0.649324,18565.456945,13719.391700,24695.554384,0.5354
0.0840,0.285425,18563.262222,13719.269419,24694.970380,0.5666
0.0860,0.554049,18566.719216,13717.904466,24692.782088,0.5809
0.0880,0.680533,9213.482624,6230.881100,11216.266513,0.5966
0.0900,0.148026,21618.236554,9040.942157,16273.843908,0.6235
0.0920,0.590183,18941.644005,13607.486237,24494.065409,0.6326
0.0940,0.622578,8423.158391,5785.414499,10414.368677,0.6433
0.0960,0.046376,20854.213279,8324.328270,14983.837261,0.6648
0.0980,0.532939,18957.563451,13971.797026,25149.767585,0.6834
0.1000,0.081194,18954.983798,13972.825978,25151.167955,0.7034
0.1020,0.790050,22951.605292,18152.335231,32674.993466,0.7034
0.1040,0.792420,12014.203043,10899.060038,19619.100488,0.7212
0.1060,0.608131,26106.882889,5041.893746,9076.016874,0.7362
0.1080,1.411981,24601.320604,13480.672674,24266.622795,0.7442
0.1100,0.803102,23121.670717,18311.054524,32960.701245,0.7611
0.1120,0.941070,18393.397934,10537.870794,18969.108500,0.7646
0.1140,1.016946,6656.022437,5141.168325,9255.119932,0.7701
0.1160,0.398317,21553.655333,9659.991255,17388.382577,0.7866
0.1180,0.892742,18961.278539,13985.022246,25173.932784,0.8004
0.1200,0.277805,18961.560465,13988.675053,25179.892900,0.8252
0.1220,0.779105,18963.228062,13987.802105,25178.822893,0.8387
0.1240,1.574270,6604.661050,6484.911956,11674.415791,0.8454
0.1260,0.960429,23118.733165,18315.827333,32969.449628,0.8635
0.1280,1.402513,19137.928665,14166.844238,25501.722140,0.8791
0.1300,0.798578,19137.849979,14170.349207,25507.427151,0.9060
0.1320,1.244871,19137.715412,14166.340324,25500.657454,0.9301
0.1340,0.651317,19138.737393,14170.788665,25508.070913,0.9656
0.1360,1.099814,19137.817480,14167.580803,25502.745260,0.9848
0.1380,1.128478,9154.740159,7516.504768,13530.837060,1.0065
0.1400,0.505112,20284.932373,9236.136929,16625.551585,1.0394
0.1420,0.995228,18968.912758,14006.248671,25212.242837,1.0695
0.1440,0.375786,18972.356547,14015.754895,25228.734596,1.1014
0.1460,1.216074,22965.720797,18190.917579,32744.867715,1.1120
0.1480,1.256229,11558.931075,10289.556526,18522.457975,1.1339
0.1500,0.352769,24610.180722,13509.820982,24318.030536,1.1621
0.1520,1.122896,27262.174759,22545.759382,40583.489785,1.1748
0.1540,1.929430,4823.329753,4822.855605,8683.069520,1.1809
0.1560,1.276050,22988.171056,18229.953300,32815.191991,1.1987
0.1580,1.728005,18973.793323,14041.272131,25276.017841,1.2141
0.1600,1.081928,18978.655945,14051.808562,25294.337340,1.2409
0.1620,1.534800,18405.704210,13371.475803,24070.191245,1.2654
0.1640,0.906911,18413.476975,13524.806264,24345.558186,1.3012
0.1660,1.363786,18565.235272,13766.488986,24781.043961,1.3302
0.1680,0.951562,13002.508502,11294.223803,20330.554407,1.3584
