t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495719,7016.134757,6196.487580,11154.173363,0.0165
0.0080,0.715007,23666.672890,19030.947378,34256.420288,0.0390
0.0100,0.672009,23360.504657,18514.503071,33326.777536,0.0607
0.0120,0.967942,17701.817890,12955.283450,23320.478152,0.0876
0.0140,0.765130,24335.335512,17310.553013,31159.760554,0.1030
0.0160,0.737632,13089.489175,13021.869637,23440.102979,0.1113
0.0180,0.424899,11516.467507,10220.916135,18398.073941,0.1127
0.0200,0.522323,22977.700713,18221.873699,32799.894982,0.1245
0.0220,0.349986,18965.847852,14020.513390,25237.274088,0.1335
0.0240,0.534429,18959.072971,14014.160108,25226.022623,0.1528
0.0260,0.283629,18965.035735,14012.347983,25222.509999,0.1691
0.0280,0.553942,18959.290147,14006.834366,25212.855801,0.1958
0.0300,0.226170,18964.522012,14006.289793,25211.547797,0.2051
0.0320,0.409978,9210.517916,6525.040155,11745.482257,0.2158
0.0340,0.381657,21513.746456,9500.037360,17100.448905,0.2372
0.0360,0.359668,19095.072143,14162.039820,25492.031344,0.2410
0.0380,0.269834,9605.379135,7091.012869,12764.092998,0.2465
0.0400,0.423134,21569.815414,9659.874686,17388.197568,0.2622
0.0420,0.449751,18338.709133,13276.450176,23898.060066,0.2749
0.0440,0.455340,18618.483422,13797.699866,24836.315099,0.2981
0.0460,0.135372,18339.189763,13272.179672,23890.058783,0.3039
0.0480,0.240109,8164.921220,4979.981987,8964.207686,0.3110
0.0500,0.354614,21405.913788,8970.285415,16146.868360,0.3289
0.0520,0.184928,18927.004248,13643.001700,24557.587988,0.3291
0.0540,0.254602,8476.939273,5810.772895,10459.645813,0.3370
0.0560,0.432957,24441.363600,3103.822320,5587.313133,0.3468
0.0580,0.901972,18502.935483,5205.929032,9371.574229,0.3538
0.0600,0.315968,18609.310451,13783.707436,24810.989352,0.3657
0.0620,0.045419,18509.919388,5210.229578,9378.458660,0.3750
0.0640,0.890891,14482.172778,13996.780691,25195.096134,0.3771
0.0660,0.284706,22950.286864,17906.598916,32232.162756,0.3903
0.0680,0.776158,18919.189915,13627.985178,24531.149479,0.4004
0.0700,0.174476,18914.933049,13625.873054,24526.745974,0.4215
0.0720,0.671549,18919.256848,13623.319341,24522.646364,0.4396
0.0740,0.074661,18916.100972,13624.220759,24523.672027,0.4592
0.0760,0.920167,22939.123929,17889.024184,32201.163699,0.4572
0.0780,0.977442,10961.282611,9793.541747,17629.352586,0.4668
0.0800,0.147776,24104.352763,13113.310652,23604.106950,0.4819
0.0820,0.868197,26868.418217,22295.618851,40132.982128,0.4902
0.0840,0.304644,22669.876779,18019.478997,32435.366839,0.5092
0.0860,0.752684,18615.838431,13779.215932,24803.341362,0.5113
0.0880,0.837335,9257.210750,6309.924779,11358.701938,0.5209
0.0900,0.968339,25200.277497,4197.166143,7555.867395,0.5330
0.0920,1.426673,18705.683371,4049.058449,7289.731882,0.5424
0.0940,0.808546,18801.305637,13704.906387,24669.640043,0.5632
0.0960,1.267059,19085.793421,14134.619256,25443.581720,0.5812
0.0980,0.657611,19085.545258,14137.580571,25448.302638,0.6105
0.1000,1.120426,19086.099068,14135.257139,25444.583277,0.6269
0.1020,0.986556,8965.280697,8925.726725,16067.294661,0.6418
0.1040,0.656997,7668.702695,5322.757698,9581.620853,0.6548
0.1060,1.477979,15905.977085,14775.402981,26597.203344,0.6612
0.1080,0.856152,22655.371906,17773.036439,31992.321742,0.6789
0.1100,1.827906,23278.475579,19368.960878,34865.957486,0.6945
0.1120,1.301577,24483.830255,20705.512128,37271.223408,0.7212
0.1140,1.435738,18596.613633,13316.211971,23970.617286,0.7307
0.1160,1.593093,9664.398272,7193.288579,12949.512534,0.7485
0.1180,1.546686,25129.020394,5456.385777,9823.041083,0.7686
0.1200,2.004766,19098.301734,6335.903896,11406.631779,0.7865
0.1220,1.343626,18949.261416,14012.362964,25223.596962,0.8156
0.1240,1.808186,18948.048134,14008.771097,25217.596160,0.8424
0.1260,1.158312,18953.358652,14021.240478,25239.391173,0.8710
0.1280,1.936011,22948.858816,18198.829911,32759.829850,0.8791
0.1300,1.888835,11536.894323,10253.997073,18459.083567,0.8985
0.1320,1.127093,24616.604865,13561.990978,24412.710854,0.9245
0.1340,1.702991,27274.613998,22598.709960,40679.380919,0.9434
0.1360,1.226452,23136.303771,18393.062656,33108.739233,0.9742
0.1380,1.517261,19144.244740,14246.002349,25644.321489,0.9879
0.1400,1.634876,9670.945802,7172.253301,12911.690817,1.0099
0.1420,1.651570,25153.763693,5433.824424,9782.535533,1.0334
0.1440,2.036522,18325.806760,4108.673306,7397.648473,1.0555
0.1460,1.431283,18564.667295,13805.951851,24852.144615,1.0802
0.1480,2.233967,22413.814339,17674.055800,31815.534408,1.0987
0.1500,1.543079,22992.252207,18283.118986,32911.157254,1.1278
0.1520,1.937382,18311.996039,13340.168515,24014.240708,1.1412
0.1540,1.987192,9232.649912,6166.840485,11102.300066,1.1565
0.1560,1.339131,21440.491392,8803.705853,15848.009667,1.1845
0.1580,1.796333,18741.196117,13516.104180,24330.783858,1.2093
0.1600,1.136691,18924.427785,13737.178462,24728.057923,1.2466
0.1620,1.601915,18916.500857,13731.704733,24718.670435,1.2724
0.1640,2.340460,5565.436030,5495.761101,9894.710442,1.2924
0.1660,1.703398,22644.851433,18118.397383,32614.818687,1.3145
0.1680,2.443259,22618.394431,18101.607390,32585.336561,1.3308
