t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0292
0.0060,0.394081,14063.893103,4926.014573,8867.220313,0.0460
0.0080,0.562896,39249.075456,13963.888010,25135.561314,0.0927
0.0100,0.456923,39451.642374,14675.699495,26416.716013,0.1212
0.0120,0.642655,37965.037179,12620.614905,22717.749484,0.1741
0.0140,0.407977,38004.719524,12620.229580,22716.821222,0.2087
0.0160,0.743324,38006.363959,12614.147927,22706.209592,0.2691
0.0180,0.417919,38043.854126,12609.180599,22696.942997,0.3101
0.0200,0.850360,38043.441440,12601.361863,22683.301714,0.3788
0.0220,0.470494,38078.761893,12588.521031,22659.808349,0.4251
0.0240,0.687445,5162.122439,4802.781767,8645.694625,0.4532
0.0260,0.616690,40463.155392,12988.708577,23380.292128,0.5078
0.0280,0.665926,39137.166567,13116.487943,23610.344223,0.5422
0.0300,0.669592,3962.110660,3838.983533,6910.839950,0.5552
0.0320,0.722372,39343.197855,12084.410710,21752.661650,0.5984
0.0340,0.580126,38143.122265,12563.657944,22615.164426,0.6185
0.0360,0.949980,4972.896396,4620.288991,8317.470164,0.6201
0.0380,0.567029,40393.949508,12825.948381,23087.274115,0.6495
0.0400,0.836798,39096.100475,12982.377172,23369.115708,0.6587
0.0420,0.950668,3938.707567,3812.175154,6862.865946,0.6466
0.0440,0.771953,39391.022507,12156.420485,21882.328826,0.6655
0.0460,0.788998,38197.180649,12620.817761,22718.260967,0.6629
0.0480,0.754741,38192.242683,12629.672713,22734.165624,0.6913
0.0500,0.668094,38221.164141,12644.211511,22760.248814,0.6967
0.0520,1.034201,4834.117229,4487.639499,8078.785300,0.7141
0.0540,1.392437,49295.030205,27286.627552,49117.322031,0.7738
0.0560,1.167931,48446.867534,27765.027878,49978.218111,0.8135
0.0580,1.438624,39039.324513,12777.196850,23000.392954,0.8833
0.0600,1.192894,39062.835872,12737.267977,22928.275253,0.9321
0.0620,0.841350,3950.970350,3826.413325,6888.385335,0.9566
0.0640,1.277318,39497.093598,12162.358367,21893.522378,1.0155
0.0660,0.867359,38331.544444,12538.751723,22570.620461,1.0500
0.0680,0.910899,4611.923956,4285.916601,7715.560780,1.0738
0.0700,0.923703,45747.878914,23619.069483,42515.248772,1.1219
0.0720,0.981984,54065.287221,37810.880560,68060.566992,1.1439
0.0740,0.798886,19479.193106,19477.476134,35060.255927,1.1413
0.0760,1.018208,39916.986466,12772.089640,22990.779560,1.1843
0.0780,0.467664,41760.146801,21769.501687,39185.570702,1.1950
0.0800,1.106469,49456.770852,35172.906547,63312.338255,1.2372
0.0820,0.776736,41851.256969,21903.967149,39427.917603,1.2556
0.0840,0.997061,5117.917753,4910.951067,8840.708980,1.2604
0.0860,0.648065,45724.305839,23897.705197,43016.517419,1.2924
0.0880,0.998193,54251.704809,38166.355385,68700.437885,1.3191
0.0900,1.671702,38825.058239,38816.624102,69871.595085,1.3095
0.0920,0.992208,51141.611749,33761.986601,60772.568090,1.3360
0.0940,1.390407,38814.370175,13124.215403,23624.978133,1.3382
0.0960,0.722141,38811.353766,13122.744440,23621.662133,1.3757
0.0980,1.131395,38843.624951,13126.511362,23628.851847,1.3889
0.1000,0.473901,38838.651924,13123.345345,23622.495523,1.4369
0.1020,0.893220,38868.826707,13122.268443,23620.976418,1.4605
0.1040,0.246145,38861.920367,13117.357375,23611.489419,1.5185
0.1060,0.674627,38890.029428,13108.399252,23595.793281,1.5522
0.1080,0.945034,4998.884265,4806.098924,8651.923097,1.5646
0.1100,0.413452,39931.874951,11917.176667,21451.331452,1.6088
0.1120,0.728434,38760.582006,12114.788568,21807.347856,1.6314
0.1140,0.686427,16943.204917,6644.295211,11960.417807,1.6685
0.1160,0.428083,19354.128128,13265.067404,23877.549410,1.6983
0.1180,0.775170,36402.359439,8887.016199,15997.404328,1.7592
0.1200,0.527186,38756.466432,11983.399430,21570.646159,1.7980
0.1220,0.232793,4636.381674,4487.228254,8077.243651,1.8227
0.1240,0.764119,36704.773839,4033.704447,7261.432124,1.8670
0.1260,1.128625,35357.213383,3766.995753,6781.720980,1.8871
0.1280,0.562655,38927.541616,13027.648779,23450.330456,1.9417
0.1300,0.914585,38962.224577,13019.460894,23435.944195,1.9718
0.1320,0.405644,38958.509319,13014.426609,23426.373540,2.0366
0.1340,0.721769,38990.988434,13001.615269,23403.629254,2.0767
0.1360,0.321367,38985.335879,12994.986031,23391.296223,2.1518
0.1380,0.551114,39015.650166,12974.680718,23354.976406,2.2024
0.1400,0.915224,4634.559254,4461.771911,8032.104663,2.2309
0.1420,0.348874,39817.508931,11514.091310,20725.713233,2.2924
0.1440,0.746631,38699.991738,11722.038296,21100.415565,2.3322
0.1460,1.038448,4595.076944,4439.398103,7991.955034,2.3471
0.1480,0.556467,40146.359761,12750.964286,22952.292182,2.3983
0.1500,0.835442,39051.563054,12950.848051,23312.361934,2.4241
0.1520,0.449216,39043.309009,12953.161867,23316.140576,2.4864
0.1540,0.656487,39069.882441,12945.928214,23303.327272,2.5242
0.1560,1.008942,4402.898288,4234.445078,7623.010082,2.5396
0.1580,0.449252,39741.382215,11321.234696,20378.671704,2.5891
0.1600,0.830442,38639.882161,11542.859491,20777.977526,2.6230
0.1620,1.067479,15254.182634,15243.816355,27439.936918,2.6336
0.1640,0.466753,41554.870164,18039.024699,32470.711213,2.6811
0.1660,0.834525,39074.010410,12963.807996,23335.688917,2.7029
0.1680,0.282434,39060.440040,12965.325210,23337.867812,2.7614
0.1700,0.622016,39079.610543,12955.058832,23319.727914,2.8062
0.1720,2.098654,14875.936622,14630.480743,26336.963991,2.8133
0.1740,1.565948,47426.777063,26100.866943,46983.126445,2.8548
0.1760,1.785956,38527.852683,11468.019965,20644.221894,2.8737
0.1780,1.263302,38505.969247,11460.685530,20630.497255,2.9270
0.1800,1.499872,38519.309728,11438.796818,20591.334144,2.9574
0.1820,0.985772,38495.667044,11430.201311,20575.348131,3.0221
0.1840,1.238966,38507.442368,11404.318482,20529.012235,3.0638
0.1860,0.731629,38482.046721,11394.431047,20510.707514,3.1397
0.1880,1.002242,38492.284934,11365.934412,20459.684183,3.1935
0.1900,1.373672,4334.254313,4139.071155,7451.701751,3.2222
0.1920,0.725974,40223.431610,12784.444411,23012.725913,3.2884
0.1940,1.109305,38915.366756,12703.470642,22867.356461,3.3298
0.1960,1.397406,3207.683179,2905.477132,5231.256243,3.3489
0.1980,0.824802,39752.534357,11059.640264,19908.177276,3.4025
0.2000,1.150236,38619.630110,11335.621975,20405.269791,3.4334
0.2020,0.582960,38592.139258,11332.213833,20398.567860,3.4987
0.2040,0.928372,38599.234985,11314.544652,20367.108746,3.5425
0.2060,1.268199,3326.829213,3125.889791,5627.869822,3.5605
0.2080,0.664225,39891.526046,12335.025672,22203.710434,3.6167
0.2100,1.031535,38739.362238,12548.001559,22587.434341,3.6482
0.2120,1.333303,2953.824226,2620.806453,4718.784917,3.6683
0.2140,2.005138,37477.805366,7822.827582,14083.094786,3.7084
0.2160,2.275389,36127.473992,7830.244840,14096.716102,3.7258
0.2180,1.670693,38424.145996,11265.460997,20279.500488,3.7789
0.2200,1.958365,38432.273136,11245.957148,20244.681231,3.8091
0.2220,1.364696,38402.557565,11238.810415,20231.223443,3.8749
0.2240,1.669015,38409.110394,11215.015898,20188.697631,3.9176
0.2260,1.085519,38377.643307,11206.593617,20172.954028,3.9959
0.2280,1.405821,38382.655437,11179.226249,20124.013068,4.0527
0.2300,1.743055,3011.821711,2730.207079,4916.115797,4.0834
0.2320,1.095935,39959.173693,12492.379071,22487.378262,4.1533
0.2340,1.472289,38762.997820,12753.317949,22957.444598,4.1965
0.2360,0.841694,38751.570630,12781.289785,23007.163306,4.2790
0.2380,1.226161,38773.811624,12790.815946,23024.694864,4.3368
