t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0292
0.0060,0.394054,14063.808449,4925.680433,8866.618834,0.0460
0.0080,0.563475,39247.670620,13959.834750,25128.266026,0.0927
0.0100,0.457443,39451.640063,14675.702369,26416.721708,0.1212
0.0120,0.643122,37965.032583,12620.618419,22717.756276,0.1741
0.0140,0.408516,38004.715390,12620.234468,22716.830558,0.2086
0.0160,0.743695,38006.360194,12614.153856,22706.220635,0.2690
0.0180,0.418232,38043.850786,12606.014367,22691.244093,0.3078
0.0200,0.724796,5205.984518,4840.306197,8713.275951,0.3295
0.0220,0.536951,40474.865290,13052.976649,23495.894918,0.3758
0.0240,0.671615,39139.003168,13181.523925,23727.414680,0.4048
0.0260,0.638276,39123.670310,13163.223684,23694.440907,0.4591
0.0280,0.660020,39141.404557,13135.820388,23645.136718,0.4937
0.0300,0.645214,3968.112903,3844.872106,6921.415006,0.5077
0.0320,0.727927,39346.963111,12101.872249,21784.097975,0.5509
0.0340,0.564626,38147.241877,12586.038478,22655.433887,0.5714
0.0360,0.928178,4981.046314,4628.147701,8331.594041,0.5738
0.0380,0.565231,40398.185134,12840.878176,23114.145948,0.6033
0.0400,0.821023,39100.278422,13001.372890,23403.292224,0.6129
0.0420,0.927574,3944.641370,3818.014166,6873.353073,0.6017
0.0440,0.765183,39394.652853,12173.303067,21912.710705,0.6208
0.0460,0.770336,38201.164706,12642.501516,22757.273065,0.6188
0.0480,0.755517,38196.208294,12651.242439,22772.991908,0.6472
0.0500,0.654905,38225.135706,12665.680267,22798.879385,0.6528
0.0520,1.018144,4842.391311,4495.655226,8093.197550,0.6704
0.0540,1.410235,49301.838350,27299.848864,49141.138189,0.7297
0.0560,1.179511,48455.193699,27782.618256,50009.892372,0.7695
0.0580,1.455777,39043.472175,12795.566312,23033.475138,0.8391
0.0600,1.204680,39066.988313,12755.559180,22961.211205,0.8879
0.0620,0.848295,3956.691760,3832.082124,6898.596118,0.9127
0.0640,1.289876,39500.527770,12178.245822,21922.132355,0.9716
0.0660,0.875727,38335.344253,12559.237291,22607.502850,1.0063
0.0680,0.911657,4620.263836,4294.035836,7730.176162,1.0307
0.0700,0.938271,45753.313693,23630.084728,42535.090782,1.0788
0.0720,0.967329,54019.322803,37689.011676,67841.188345,1.1010
0.0740,0.805637,18978.868260,18978.585939,34162.260327,1.0988
0.0760,1.023708,39650.964605,12361.818812,22252.297570,1.1421
0.0780,0.472365,41638.753672,21611.325757,38900.858728,1.1532
0.0800,1.113002,49461.630558,35182.530085,63329.667154,1.1955
0.0820,0.777975,41856.566893,21918.661066,39454.367893,1.2141
0.0840,0.994067,5126.543023,4919.474451,8856.048078,1.2301
0.0860,1.019984,43908.299329,22747.433942,40946.401081,1.2582
0.0880,1.524486,52705.405302,37478.649869,67463.094250,1.2696
0.0900,0.816104,54285.300281,38281.719251,68907.910756,1.3083
0.0920,1.353473,54302.819673,38260.525145,68870.298733,1.3302
0.0940,0.655797,54296.636589,38278.044640,68901.136149,1.3794
0.0960,1.216538,54313.490275,38256.583749,68863.067286,1.4114
0.0980,0.551680,54306.543651,38274.563559,68894.766087,1.4710
0.1000,1.113980,54322.693980,38257.739805,68865.045629,1.5144
0.1020,0.961908,34728.952237,34724.197355,62504.517148,1.5358
0.1040,0.340207,42874.744199,21594.438946,38870.330310,1.5931
0.1060,0.739854,38907.301224,13084.363291,23552.593778,1.6262
0.1080,0.954949,4951.968046,4761.990984,8572.538720,1.6369
0.1100,0.484197,39921.653723,11867.181699,21361.411256,1.6809
0.1120,0.728066,38757.517236,12058.066874,21705.248439,1.7030
0.1140,0.835156,11704.160645,5543.280634,9978.740297,1.7387
0.1160,0.266729,17032.272184,14590.867009,26263.827345,1.7664
0.1180,0.635091,36409.832295,8922.762928,16061.608361,1.8264
0.1200,0.369042,38746.917000,11908.713800,21436.053882,1.8739
0.1220,0.535822,36470.487451,8975.560563,16156.544835,1.9389
0.1240,0.873543,36430.333665,9009.005773,16217.083934,1.9809
0.1260,0.333721,38706.815376,11887.171622,21397.242640,2.0557
0.1280,0.694810,38730.475974,11845.264444,21322.170809,2.1073
0.1300,0.149455,38714.728160,11821.593838,21279.018364,2.1919
0.1320,0.541435,38736.575156,11777.976707,21200.899508,2.2541
0.1340,0.886509,4616.030007,4465.555970,8038.887255,2.2909
0.1360,0.364422,40133.835684,12682.226579,22828.372265,2.3636
0.1380,0.699234,39048.129236,12871.763569,23169.873659,2.4105
0.1400,0.279596,39043.143475,12864.021666,23155.518595,2.4934
0.1420,0.532703,39074.263064,12839.906710,23112.364782,2.5515
0.1440,0.890053,4436.165056,4274.146693,7694.354101,2.5866
0.1460,0.332858,39785.604033,11316.675744,20370.349197,2.6556
0.1480,0.723726,38701.085798,11501.099918,20702.703578,2.7026
0.1500,1.029892,4433.137723,4278.285423,7701.943654,2.7240
0.1520,0.533398,40178.446329,12639.234711,22751.155879,2.7823
0.1540,0.830933,39114.890233,12804.821038,23049.508802,2.8146
0.1560,0.420527,39107.189045,12806.439570,23052.011752,2.8840
0.1580,0.654609,39134.514402,12795.960260,23033.383076,2.9288
0.1600,1.000172,4175.866553,4018.356452,7234.041786,2.9569
0.1620,0.957148,45288.386069,23052.774978,41495.952109,3.0152
0.1640,0.867130,54009.022181,37706.128154,67871.897807,3.0493
0.1660,1.137295,19180.734018,19178.120735,34521.754618,3.0690
0.1680,1.744029,36757.933425,3669.548405,6606.931158,3.1171
0.1700,2.137080,38219.459485,16499.634128,29701.478510,3.1354
0.1720,1.470298,48886.143984,33876.580079,60979.314440,3.1894
0.1740,1.806408,41633.608195,20675.119298,37217.021145,3.2177
0.1760,1.201484,39144.892063,12807.510299,23054.720022,3.2894
0.1780,1.622471,41546.226456,20449.910538,36811.461439,3.3311
0.1800,0.996873,48796.112173,33695.513974,60652.922027,3.4089
0.1820,1.325035,41596.341042,20515.801299,36929.767374,3.4605
0.1840,0.790726,39185.307504,12800.696424,23042.044289,3.5548
0.1860,1.220874,41502.133435,20276.614424,36499.126838,3.6213
0.1880,1.449998,33592.124386,33475.399428,60257.168968,3.6671
0.1900,1.021205,54478.196533,37212.321262,66983.199476,3.7453
0.1920,1.266808,53777.968371,37426.741115,67369.400816,3.8046
0.1940,1.464928,33854.926719,33851.326835,60933.853231,3.8391
0.1960,0.855429,42547.277449,20347.673757,36626.668191,3.9120
0.1980,1.209612,39205.130245,12767.806191,22983.260755,3.9603
0.2000,1.378817,3472.400489,3310.679851,5960.602548,3.9850
0.2020,0.940032,39469.886647,10594.106072,19070.330962,4.0455
0.2040,1.121594,38390.293600,10832.238136,19499.150240,4.0822
0.2060,0.698896,38362.173667,10827.773264,19490.690772,4.1545
0.2080,0.886403,38368.179098,10804.904901,19449.715224,4.2074
0.2100,1.568147,6403.963862,6183.880194,11132.552496,4.2305
0.2120,0.909716,41964.714709,16404.718478,29529.402975,4.2924
0.2140,1.292322,39086.513411,12682.643065,22830.049840,4.3275
0.2160,0.664974,38904.775317,12470.167518,22446.966507,4.4013
0.2180,1.052021,38859.731486,12379.396002,22283.964824,4.4616
0.2200,2.592789,14906.902992,14649.138097,26371.041364,4.4830
0.2220,2.011340,47425.325867,25957.539164,46725.581834,4.5405
0.2240,2.254370,38409.663823,10837.788319,19510.273344,4.5748
0.2260,1.684428,38380.583910,10830.381942,19496.371924,4.6451
0.2280,1.944654,38387.875139,10803.104119,19447.532069,4.6917
0.2300,1.385103,38357.088795,10794.680150,19431.809372,4.7745
0.2320,1.661719,38362.874560,10763.450619,19375.872833,4.8334
0.2340,1.111467,38330.393359,10754.022516,19358.351995,4.9282
0.2360,1.403908,38334.708839,10719.310532,19296.162865,5.0012
0.2380,1.756368,2451.950202,2104.511490,3789.877050,5.0474
