trial_index,condition,liquid_tau,use_6D,avg_ee_speed,max_ee_speed,avg_pos_error,max_pos_error,avg_tube_tilt_error_deg,max_tube_tilt_error_deg,avg_mix_angle_deg,max_mix_angle_deg,integrated_mix_score,sim_time_s
0,ik,0.15,1,0.326531362032225,1.3484365909574059,0.06606217262759406,0.3105582555810588,13.040546969649379,25.43843525299926,13.040546969649379,25.43843525299926,43.05988609378225,6.301999999999528
1,ik,0.18775510204081633,1,0.33214589673132283,1.3484365909574059,0.0659741903375309,0.31032472995372395,13.10781608444845,23.45495214176217,13.10781608444845,23.45495214176217,43.28200871084878,6.301999999999528
2,ik,0.22551020408163264,1,0.3354476983735265,1.5011715392614406,0.06631756629443077,0.3100811705650289,12.880357218778625,23.3355616552451,12.880357218778625,23.3355616552451,42.530939536407026,6.301999999999528
3,ik,0.26326530612244897,1,0.33184595753839097,1.4097998452769762,0.06560348786205467,0.30617516093283287,12.606832662180963,22.456809974396045,12.606832662180963,22.456809974396045,41.62776145052154,6.301999999999528
4,ik,0.3010204081632653,1,0.33418714857773135,1.3998514250375522,0.06553088373265983,0.3102158952607916,12.467473998112084,22.585643712482934,12.467473998112084,22.585643712482934,41.1675991417661,6.301999999999528
5,ik,0.3387755102040816,1,0.3314152356184506,1.3484365909574059,0.06605423185558267,0.3092895540204903,12.155329728809004,22.693436814152456,12.155329728809004,22.693436814152456,40.13689876452733,6.301999999999528
6,ik,0.376530612244898,1,0.3297858351590312,1.3484365909574059,0.06602008502528671,0.3102505015356288,12.19158982234651,22.778662046650513,12.19158982234651,22.778662046650513,40.256629593388176,6.301999999999528
7,ik,0.41428571428571426,1,0.32606745071281895,1.3484365909574059,0.06626311849540444,0.3098718931633851,12.374162852682645,22.84252203785836,12.374162852682645,22.84252203785836,40.85948573955809,6.301999999999528
8,ik,0.4520408163265306,1,0.3286414002760153,1.3484365909574059,0.06617972789292612,0.30980382741867674,12.121150027853776,22.887503975385634,12.121150027853776,22.887503975385634,40.024037391973174,6.301999999999528
9,ik,0.4897959183673469,1,0.3269714772498542,1.3484365909574059,0.06592029955948706,0.31044130584161644,12.18567584137477,22.916506311251304,12.18567584137477,22.916506311251304,40.23710162821949,6.301999999999528
10,ik,0.5275510204081633,1,0.32644446066980204,1.3484365909574059,0.06590745839831441,0.3098204871192733,12.283579174523172,22.932370962120636,12.283579174523172,22.932370962120636,40.56037843427552,6.301999999999528
11,ik,0.5653061224489796,1,0.3266752865478086,1.3484365909574059,0.06523285343177582,0.3054939684468825,11.941674206032632,22.937664851529114,11.941674206032632,22.937664851529114,39.431408228319754,6.301999999999528
12,ik,0.6030612244897959,1,0.32677461272828773,1.3484365909574059,0.06615661554464146,0.30929621427973414,11.969145837819138,22.934601776881202,11.969145837819138,22.934601776881202,39.52211955647879,6.301999999999528
13,ik,0.6408163265306123,1,0.3265267642730176,1.3484365909574059,0.0660893200116858,0.3095516829338121,11.97281683171454,22.925037267535533,11.97281683171454,22.925037267535533,39.534241178321416,6.301999999999528
14,ik,0.6785714285714286,1,0.3270183526374363,1.3484365909574059,0.06584252461259335,0.309647684332072,11.847108451428127,22.910497681066218,11.847108451428127,22.910497681066218,39.11915210661568,6.301999999999528
15,ik,0.7163265306122449,1,0.33638040316895074,1.3484365909574059,0.06601368505312781,0.30673239036734673,11.825054189975758,22.892222409694835,11.825054189975758,22.892222409694835,39.04632893529995,6.301999999999528
16,ik,0.7540816326530613,1,0.33685143062106093,1.365802020037461,0.06621711333269453,0.3064140120663808,11.801112727018955,22.87120831949861,11.801112727018955,22.87120831949861,38.96727422461659,6.301999999999528
17,ik,0.7918367346938776,1,0.3298338928168314,1.3484365909574059,0.06609099978702493,0.30990375015309535,11.755316091444346,22.848251268627667,11.755316091444346,22.848251268627667,38.81605373394923,6.301999999999528
18,ik,0.8295918367346939,1,0.3287047110956246,1.3484365909574059,0.0656023579945143,0.3095052048947328,11.657542452977047,22.82398262990997,11.657542452977047,22.82398262990997,38.49320517973021,6.301999999999528
19,ik,0.8673469387755102,1,0.32587262972764736,1.3627261800423593,0.06535904574338532,0.30680418917379154,11.943256580128615,22.798900326664313,11.943256580128615,22.798900326664313,39.436633227584686,6.301999999999528
20,ik,0.9051020408163265,1,0.32826147223316365,1.3484365909574059,0.06578182552375081,0.30946018651970825,11.838045520742174,22.773394650038494,11.838045520742174,22.773394650038494,39.08922630949066,6.301999999999528
21,ik,0.942857142857143,1,0.3266346006172933,1.3484365909574059,0.06603458683631232,0.3092445120292688,11.946939742671802,22.747769444323882,11.946939742671802,22.747769444323882,39.448795030302286,6.301999999999528
22,ik,0.9806122448979593,1,0.3272522584361882,1.3484365909574059,0.06641883466020282,0.3096427301025788,11.91250993513872,22.722259337100095,11.91250993513872,22.722259337100095,39.33510780582805,6.301999999999528
23,ik,1.0183673469387755,1,0.33291177774606595,1.3484365909574059,0.06650383472525079,0.3091074293820388,11.636192648639282,22.697043670823877,11.636192648639282,22.697043670823877,38.422708125806906,6.301999999999528
24,ik,1.056122448979592,1,0.3271043610994287,1.3484365909574059,0.06621622079532438,0.30931144518140796,11.827996488169457,22.67225772433086,11.827996488169457,22.67225772433086,39.05604440393555,6.301999999999528
25,ik,1.0938775510204082,1,0.3298076782493631,1.3484365909574059,0.0661734397255462,0.3087135062188862,11.661047608601814,22.648001729226873,11.661047608601814,22.648001729226873,38.50477920360319,6.301999999999528
26,ik,1.1316326530612244,1,0.32963419002009453,1.3484365909574059,0.06590468402336565,0.30826523431837183,11.627270980641164,22.624348103319328,11.627270980641164,22.624348103319328,38.39324877807713,6.301999999999528
27,ik,1.1693877551020408,1,0.32858917883589694,1.3484365909574059,0.06560849305441016,0.30892292988182163,11.66414739926239,22.601347248215045,11.66414739926239,22.601347248215045,38.51501471236441,6.301999999999528
28,ik,1.207142857142857,1,0.32797691095433923,1.3484365909574059,0.06557917982163128,0.3083150429346276,11.673273345222238,22.57903219348132,11.673273345222238,22.57903219348132,38.54514858592383,6.301999999999528
29,ik,1.2448979591836735,1,0.33129663209342153,1.3484365909574059,0.06621260714802603,0.30921205894320725,11.644052499962239,22.557422315511857,11.644052499962239,22.557422315511857,38.44866135487532,6.301999999999528
30,ik,1.2826530612244897,1,0.32800187070879544,1.3484365909574059,0.06590792937962497,0.30842849919964255,11.562441831404527,22.536526314587633,11.562441831404527,22.536526314587633,38.17918292729775,6.301999999999528
31,ik,1.320408163265306,1,0.33277917361499487,1.3484365909574059,0.06618816593080626,0.30927445331375636,11.374687758040638,22.516344597306333,11.374687758040638,22.516344597306333,37.559218977050186,6.301999999999528
32,ik,1.3581632653061224,1,0.3265019946938007,1.3484365909574059,0.06578750554480717,0.3070402552814086,11.828231867424144,22.49687118224488,11.828231867424144,22.49687118224488,39.05682162623452,6.301999999999528
33,ik,1.3959183673469389,1,0.32937540095040974,1.3484365909574059,0.06507665420674068,0.30603433599211727,11.600338340868333,22.478095223184646,11.600338340868333,22.478095223184646,38.304317201547235,6.301999999999528
34,ik,1.433673469387755,1,0.3276923055661086,1.3484365909574059,0.06568043669658433,0.3088647036350482,11.688393960653688,22.460002225388337,11.688393960653688,22.460002225388337,38.59507685807848,6.301999999999528
35,ik,1.4714285714285713,1,0.3287240842809857,1.3484365909574059,0.0659477701447784,0.30854345468994393,11.74219294900264,22.442575015366035,11.74219294900264,22.442575015366035,38.772721117606714,6.301999999999528
36,ik,1.5091836734693878,1,0.3275231988131698,1.3484365909574059,0.06555202673117971,0.3089529236601965,11.588133832927184,22.42579451254666,11.588133832927184,22.42579451254666,38.264017916325564,6.301999999999528
37,ik,1.546938775510204,1,0.33162154237009545,1.3484365909574059,0.06615035072413325,0.30940076810376077,11.650870288617604,22.409640341680042,11.650870288617604,22.409640341680042,38.47117369301533,6.301999999999528
38,ik,1.5846938775510202,1,0.3252360029663664,1.3709819500898281,0.06524543513907644,0.3033212273757349,11.86063349507613,22.39409131713279,11.86063349507613,22.39409131713279,39.16381180074138,6.301999999999528
39,ik,1.6224489795918369,1,0.32705377818335657,1.3484365909574059,0.06626721954218914,0.3089564002217099,11.533064499875353,22.379125824119544,11.533064499875353,22.379125824119544,38.082178978588416,6.301999999999528
40,ik,1.6602040816326529,1,0.3280978782009211,1.3484365909574059,0.06624120380299811,0.309312157481463,11.709586523382988,22.364722117015415,11.709586523382988,22.364722117015415,38.665054700210625,6.301999999999528
41,ik,1.6979591836734695,1,0.33674161897346394,1.4294040852437042,0.06603421906224964,0.30596151192008303,11.682371182038706,22.350858550973758,11.682371182038706,22.350858550973758,38.575189643091804,6.301999999999528
42,ik,1.7357142857142858,1,0.327886952772609,1.3799605809296678,0.06517739085366481,0.3049526867809627,11.655945385650465,22.337513759928587,11.655945385650465,22.337513759928587,38.48793166341784,6.301999999999528
43,ik,1.773469387755102,1,0.3267559846647851,1.3484365909574059,0.06565437631250597,0.3084145151964015,11.314212498604,22.32466679153832,11.314212498604,22.32466679153832,37.35952967039041,6.301999999999528
44,ik,1.8112244897959184,1,0.3256215858183212,1.3484365909574059,0.06567804241050441,0.3091541515330333,11.731190082774463,22.312297207595027,11.731190082774463,22.312297207595027,38.736389653321275,6.301999999999528
45,ik,1.8489795918367347,1,0.3334013653888844,1.423906876686789,0.06598035841678157,0.3066343457976223,11.778341909665487,22.30038515679138,11.778341909665487,22.30038515679138,38.89208498571544,6.301999999999528
46,ik,1.886734693877551,1,0.33720148727916,1.3731097885082095,0.06637199590532074,0.30737915250441394,11.736187714049928,22.288911425417634,11.736187714049928,22.288911425417634,38.752891831792866,6.301999999999528
47,ik,1.9244897959183673,1,0.3284424258515948,1.3484365909574059,0.065313002621803,0.3079801438977324,11.354367754176918,22.27785747049894,11.354367754176918,22.27785747049894,37.49212232429218,6.301999999999528
48,ik,1.9622448979591838,1,0.32765045855119157,1.3484365909574059,0.06582140385930188,0.31002029969166034,11.548777702286282,22.267205439020323,11.548777702286282,22.267205439020323,38.134063972949306,6.301999999999528
