t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495798,7016.681153,6197.481121,11155.961816,0.0163
0.0080,0.920754,24819.874015,20469.113072,36845.324284,0.0391
0.0100,0.105930,30768.917445,27350.991392,49231.890436,0.0556
0.0120,1.244751,12233.012133,10837.267919,19508.327006,0.0743
0.0140,0.477943,31276.690350,29265.394860,52678.188692,0.0825
0.0160,1.264790,4508.546031,4341.953001,7816.780192,0.0987
0.0180,0.165291,38782.404733,29840.710966,53713.445030,0.1106
0.0200,1.234000,23929.415877,5313.434455,9565.416019,0.1139
0.0220,0.382831,25454.125302,25420.795958,45757.815554,0.1253
0.0240,0.907645,24708.249930,3716.761779,6691.078847,0.1356
0.0260,0.407934,31111.137269,25373.948751,45673.515686,0.1445
0.0280,1.151024,18937.704940,13828.843548,24893.069410,0.1584
0.0300,0.423886,34746.304894,29546.250489,53183.674766,0.1632
0.0320,1.004907,6036.720474,5941.473519,10695.657241,0.1742
0.0340,0.118465,32646.346691,21620.695542,38917.370441,0.1879
0.0360,1.189254,18747.131877,5571.569695,10030.014706,0.1990
0.0380,0.288296,31360.969557,28666.968030,51600.830749,0.2146
0.0400,1.069861,19115.862289,5842.867262,10518.230932,0.2196
0.0420,0.325121,25570.356557,25543.371740,45978.394253,0.2188
0.0440,1.196330,11619.523332,10273.012852,18492.619464,0.2113
0.0460,0.165740,33941.561530,30939.248738,55690.813469,0.2142
0.0480,1.104327,18919.959257,13802.546877,24845.688706,0.2129
0.0500,0.179227,30890.223604,28092.142119,50566.035041,0.2233
0.0520,1.115028,18811.224119,13923.536219,25063.480222,0.2306
0.0540,0.248375,31351.134903,28649.549569,51569.437599,0.2424
0.0560,1.136631,19111.424402,5835.029758,10504.190195,0.2451
0.0580,0.366287,25563.034291,25535.642236,45964.522313,0.2415
0.0600,1.135427,11619.197580,10278.257178,18501.998347,0.2296
0.0620,0.112605,33935.650439,30924.901994,55664.936194,0.2289
0.0640,1.150839,18917.465675,13792.635504,24827.894747,0.2257
0.0660,0.188940,34331.991402,31776.008671,57197.004548,0.2327
0.0680,1.361238,18407.068305,13225.467068,23807.201960,0.2366
0.0700,0.219972,34693.379524,32326.765189,58188.397312,0.2510
0.0720,1.125809,18409.228657,13226.285085,23808.438962,0.2481
0.0740,0.400278,29876.809359,29210.875872,52579.976847,0.2470
0.0760,1.262874,21020.149028,8333.682730,15001.891788,0.2566
0.0780,0.313944,34267.905427,31692.771447,57047.302548,0.2627
0.0800,1.173484,18444.573945,13257.142895,23864.030694,0.2794
0.0820,0.255770,34790.397130,32418.846218,58354.178962,0.2789
0.0840,1.266409,8149.291527,4976.255353,8958.526045,0.2801
0.0860,0.243558,35719.247894,30199.285012,54358.956579,0.2915
0.0880,1.194492,18407.212490,13217.450355,23792.605131,0.2857
0.0900,0.353212,29865.752099,29200.178690,52560.674854,0.2911
0.0920,1.305968,24132.828070,12678.501547,22822.608753,0.3013
0.0940,0.295351,39363.262613,36178.688520,65121.934687,0.3043
0.0960,1.241800,22550.292475,17621.275067,31719.536921,0.3186
0.0980,0.227069,34785.046263,32407.612285,58333.929182,0.3151
0.1000,1.202972,8146.075131,4978.111581,8961.803818,0.3123
0.1020,0.368473,32555.069619,26273.964842,47293.505188,0.3209
0.1040,0.939109,18914.899908,13773.255655,24792.799288,0.3119
0.1060,0.342704,25950.181829,25145.904664,45262.971099,0.3140
0.1080,0.592136,25841.585104,15413.567310,27745.013294,0.3214
0.1100,0.287360,27151.916865,22196.758889,39954.453360,0.3213
0.1120,0.959103,24489.457916,19891.600839,35805.840612,0.3324
0.1140,0.215507,28282.947262,25152.327523,45274.405049,0.3254
0.1160,0.317135,12218.172961,10507.172355,18913.227374,0.3349
0.1180,0.300668,25478.849521,4329.668012,7793.703090,0.3417
0.1200,1.253251,29639.058237,21739.287903,39131.971476,0.3421
0.1220,0.303291,33457.974665,30338.248177,54609.150009,0.3468
0.1240,0.105256,20314.205307,9721.550557,17498.896258,0.3430
0.1260,0.296778,4657.732432,4436.221210,7985.494955,0.3561
0.1280,0.897821,30692.977537,16814.640972,30267.251571,0.3665
0.1300,0.812978,34740.935143,28056.230254,50502.027435,0.3691
0.1320,0.243400,24478.351800,19874.995762,35775.235770,0.3766
0.1340,0.278608,18673.473968,3976.841086,7158.592563,0.3753
0.1360,0.929993,17602.681053,17554.236566,31598.555813,0.3773
0.1380,0.623069,30789.420447,30059.505832,54107.733566,0.3756
0.1400,0.225042,24022.412185,20316.851665,36570.558039,0.3848
0.1420,0.473778,18630.443971,13258.652145,23866.047639,0.3909
0.1440,0.777049,20717.338144,16094.099660,28970.156436,0.3989
0.1460,0.742702,31094.184727,27676.078165,49817.683398,0.3990
0.1480,0.757409,31112.014721,27692.895026,49847.968456,0.4109
0.1500,0.644738,28255.365524,25118.741197,45214.378892,0.4045
0.1520,1.014517,22891.798430,21996.508881,39594.730502,0.4108
0.1540,0.263436,31909.735268,24528.113969,44150.868581,0.4210
0.1560,0.644586,30092.691500,26007.914735,46814.891109,0.4245
0.1580,0.028329,23214.376746,18567.666315,33421.827695,0.4385
0.1600,0.554172,18950.368223,13981.689285,25167.594886,0.4355
0.1620,0.600575,9271.184180,6622.615002,11921.307578,0.4435
0.1640,0.399614,24585.214443,13484.134878,24271.842395,0.4572
0.1660,0.522491,27263.565807,22539.837713,40572.230374,0.4491
0.1680,0.641650,11876.155674,10688.189125,19239.382076,0.4524
