t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495766,7016.404534,6197.070163,11155.222059,0.0164
0.0080,0.803285,24149.391520,19638.521945,35350.142786,0.0391
0.0100,0.220377,29627.095947,26050.085663,46890.374570,0.0558
0.0120,0.401094,13725.626678,12682.698368,22829.258156,0.0783
0.0140,0.744882,19049.840814,6055.850086,10901.275037,0.1108
0.0160,0.393642,19093.074056,14175.599788,25516.473260,0.1257
0.0180,0.143197,9605.117519,7079.018613,12742.376700,0.1418
0.0200,0.709794,21572.632044,9672.216238,17410.699024,0.1684
0.0220,0.156610,18964.642281,14006.114390,25211.162513,0.1914
0.0240,0.734937,18957.511565,14000.233133,25201.154576,0.2155
0.0260,0.201619,22965.155549,18187.946377,32738.505097,0.2177
0.0280,0.366814,11513.210081,10243.148451,18438.034026,0.2310
0.0300,0.641834,24562.793555,13482.520787,24269.179252,0.2495
0.0320,0.317830,27229.292380,22539.750606,40571.868921,0.2462
0.0340,0.323617,11827.764262,10603.091721,19085.888714,0.2539
0.0360,0.702955,24245.220140,12869.816271,23166.372242,0.2764
0.0380,0.525585,22703.913415,17821.782106,32079.733376,0.2814
0.0400,0.334282,9208.607426,6535.935173,11765.017594,0.2873
0.0420,0.576391,21159.332701,8329.190625,14993.119516,0.3040
0.0440,0.317265,18920.803932,13628.189523,24531.058407,0.3171
0.0460,0.612276,18912.884209,13622.380068,24520.896399,0.3314
0.0480,0.413017,22940.222922,17890.181022,32202.738857,0.3238
0.0500,0.411078,10964.945646,9797.307355,17635.564316,0.3275
0.0520,0.640179,24102.317974,13112.028949,23602.292287,0.3457
0.0540,0.161049,22671.567960,18018.890907,32434.164682,0.3465
0.0560,0.319874,9094.079799,6421.990627,11559.903002,0.3489
0.0580,0.537916,21236.818025,8924.985899,16065.512533,0.3619
0.0600,0.299382,18915.140381,13603.363445,24486.353584,0.3774
0.0620,0.228057,19128.928267,5346.075015,9623.163084,0.3795
0.0640,0.402231,25183.254195,4179.377818,7523.282303,0.3687
0.0660,0.404218,3519.188898,3504.903560,6309.230626,0.3752
0.0680,0.331250,25841.361473,4470.425655,8047.097429,0.3875
0.0700,0.685604,20997.021892,8952.406576,16115.017441,0.3971
0.0720,0.275010,18603.363275,13758.541827,24765.650300,0.4018
0.0740,0.228209,20993.991307,8956.525241,16121.973644,0.3937
0.0760,0.278678,625.964501,607.153540,1093.155050,0.4026
0.0780,0.167023,26313.099744,5334.261504,9601.837730,0.4085
0.0800,0.973710,24244.172563,12629.083206,22733.323480,0.4071
0.0820,0.360089,22936.537586,17864.053768,32155.656872,0.4165
0.0840,0.822128,18545.031433,13222.555686,23801.422362,0.4231
0.0860,0.256982,19079.738621,14102.573445,25384.889183,0.4408
0.0880,0.752429,18544.288373,13221.377272,23799.231519,0.4411
0.0900,0.790936,8451.511334,5811.175553,10460.906932,0.4433
0.0920,0.194189,20864.350310,8326.029213,14987.046773,0.4562
0.0940,0.685920,18959.430843,13961.698403,25131.743046,0.4519
0.0960,0.746909,9214.652965,6570.961961,11828.478439,0.4589
0.0980,0.252359,24534.491006,13414.833192,24146.952104,0.4714
0.1000,0.658018,27209.725082,22476.934523,40459.140160,0.4768
0.1020,0.175150,23061.175664,18252.679134,32854.997590,0.4929
0.1040,0.561460,19081.562630,14101.259983,25382.829430,0.4917
0.1060,0.660680,9584.876497,7106.137521,12791.708217,0.4924
0.1080,0.050405,21544.556706,9619.927115,17315.919212,0.5038
0.1100,0.568488,18962.355255,13963.253490,25134.424770,0.5183
0.1120,0.703037,19097.101686,6252.709279,11255.579739,0.5288
0.1140,0.456916,24444.317594,7514.902673,13527.281728,0.5310
0.1160,0.506573,6538.522729,6418.498840,11553.804485,0.5410
0.1180,0.689288,24904.297517,4322.067229,7780.410300,0.5530
0.1200,1.135774,19036.741158,6007.281641,10814.242727,0.5623
0.1220,0.553391,19071.184245,14093.873814,25369.526256,0.5828
0.1240,1.001183,19073.436037,14091.487187,25365.678119,0.6004
0.1260,0.431612,19071.824448,14092.290550,25366.554601,0.6291
0.1280,0.877550,19073.282925,14090.894407,25364.487482,0.6405
0.1300,0.958472,9578.381024,7098.893289,12778.966392,0.6539
0.1320,0.341331,21545.171732,9625.537786,17326.309345,0.6783
0.1340,0.840836,18964.198349,13973.511342,25153.161252,0.6856
0.1360,0.888926,9226.289068,6584.961475,11853.819581,0.6944
0.1380,0.318602,21132.300159,8260.295123,14868.849825,0.7145
0.1400,0.773894,18895.225939,13572.564345,24431.389714,0.7315
0.1420,0.216757,18893.370780,13576.037832,24437.084855,0.7502
0.1440,1.016610,22913.238479,17842.973184,32118.368340,0.7474
0.1460,1.080527,10935.037722,9775.958496,17597.805820,0.7562
0.1480,0.132162,24085.736150,13100.199243,23580.490799,0.7707
0.1500,0.963637,26864.133036,22292.226653,40126.971612,0.7727
0.1520,1.631008,5235.723207,3842.305252,6917.780462,0.7790
0.1540,0.658255,23657.873183,20531.850839,36957.989766,0.7915
0.1560,1.469341,27107.599762,22168.209645,39904.246702,0.7972
0.1580,0.849407,22927.286483,17873.242103,32172.685192,0.8143
0.1600,1.305705,18889.515777,13592.560266,24467.914183,0.8287
0.1620,0.692315,18891.288970,13599.573707,24479.924988,0.8545
0.1640,1.155029,18890.086026,13598.999243,24479.353665,0.8631
0.1660,1.210358,8447.889533,5776.455123,10398.829579,0.8740
0.1680,0.600873,20988.866220,8985.265329,16174.078465,0.8960
