t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495724,7016.130584,6196.553975,11154.292880,0.0164
0.0080,0.704011,23624.614331,18979.897355,34164.519251,0.0390
0.0100,0.658601,23323.372195,18470.055180,33246.757926,0.0563
0.0120,0.794733,10575.833858,9276.617428,16698.706103,0.0798
0.0140,0.838738,24672.847070,16760.523484,30169.781009,0.1113
0.0160,0.627777,22015.160262,17848.437014,32127.814403,0.1257
0.0180,0.369139,9603.327671,7077.754606,12740.327430,0.1418
0.0200,0.831644,21571.925829,9672.744672,17411.772053,0.1685
0.0220,0.342353,18965.398046,14008.026311,25214.789712,0.1917
0.0240,0.823840,18886.860114,13914.661581,25047.214686,0.2160
0.0260,0.320876,22906.455678,18122.389978,32620.622836,0.2182
0.0280,0.500529,11516.313917,10246.204817,18443.669198,0.2316
0.0300,0.669353,24563.030543,13481.493052,24267.356848,0.2501
0.0320,0.447636,27228.055061,22537.581233,40568.093855,0.2468
0.0340,0.359913,11823.932056,10599.507548,19079.473499,0.2545
0.0360,0.684202,24616.613938,13598.962795,24478.817233,0.2688
0.0380,0.255196,26541.032162,21828.135967,39290.899937,0.2762
0.0400,0.466070,22383.669949,17575.225532,31635.872027,0.2942
0.0420,0.191422,18960.962899,13981.406887,25166.723818,0.2949
0.0440,0.773341,11622.204595,9679.512609,17423.896037,0.2964
0.0460,0.914885,22503.754002,11920.214534,21457.301046,0.3091
0.0480,0.697050,18562.127520,13726.881577,24709.083888,0.3169
0.0500,0.339890,17670.125385,14661.709539,26391.417061,0.3339
0.0520,0.430025,17472.654410,14307.653185,25754.205758,0.3329
0.0540,0.565097,8074.662347,5029.911637,9054.406045,0.3396
0.0560,0.840801,28992.339460,15831.774976,28498.035758,0.3488
0.0580,1.238226,22532.201974,13395.424947,24113.003131,0.3552
0.0600,0.727391,18931.922522,13631.657705,24537.711260,0.3666
0.0620,0.538849,22539.316762,13396.365410,24113.996588,0.3750
0.0640,1.006589,21278.622508,20943.283282,37698.916497,0.3759
0.0660,0.591403,22942.587772,17895.055622,32211.691523,0.3877
0.0680,1.060470,24529.649628,20755.307632,37360.614208,0.3979
0.0700,0.838001,22228.998924,18201.740622,32763.971121,0.4187
0.0720,0.941394,18554.536322,13704.471446,24668.989996,0.4366
0.0740,0.440236,18286.263748,13203.538309,23766.809193,0.4556
0.0760,1.117226,22933.591376,18135.392935,32644.824509,0.4537
0.0780,1.086789,11523.075600,10262.119818,18472.902462,0.4628
0.0800,0.592238,24594.032130,13506.131756,24311.629399,0.4873
0.0820,0.659874,23135.442411,18341.910720,33016.099170,0.5082
0.0840,0.517312,19039.958748,14033.262564,25260.389928,0.5308
0.0860,0.863466,23029.338563,18203.739500,32767.594567,0.5318
0.0880,1.010046,11891.720371,10698.449267,19258.218727,0.5411
0.0900,1.057961,25108.767050,5469.802943,9846.703258,0.5521
0.0920,1.533421,19019.025953,6082.247835,10949.579524,0.5610
0.0940,0.881702,18864.293395,13864.946143,24957.784759,0.5806
0.0960,1.370612,18934.375851,13946.293184,25104.698343,0.5979
0.0980,0.752657,18716.099678,13648.110088,24567.350814,0.6258
0.1000,1.232615,18604.751377,13508.889139,24317.233066,0.6513
0.1020,0.593281,18792.215207,13773.940957,24793.687003,0.6782
0.1040,1.426981,22929.627834,18128.653791,32633.003805,0.6845
0.1060,1.433534,11513.239358,10254.787183,18460.050463,0.7012
0.1080,0.499942,24337.534982,12922.979664,23261.863338,0.7254
0.1100,1.318685,26958.100965,22028.442430,39652.515059,0.7274
0.1120,1.338590,10955.349022,9793.941255,17630.432850,0.7466
0.1140,1.098831,25855.582735,3564.077400,6416.438151,0.7770
0.1160,1.242791,6584.404612,6467.346864,11642.467147,0.8043
0.1180,1.632880,27157.513831,13739.015126,24731.860108,0.8254
0.1200,1.007701,29375.987640,29359.381886,52847.895095,0.8384
0.1220,1.801158,15752.465916,14890.976139,26805.558208,0.8445
0.1240,1.170654,23134.939567,18378.342156,33082.186535,0.8624
0.1260,2.061785,21896.781712,17674.998884,31817.059777,0.8795
0.1280,0.982137,34131.910634,31542.583609,56777.632632,0.9064
0.1300,1.437429,21907.311316,17688.380102,31840.521612,0.9304
0.1320,0.814640,19151.629650,14247.503989,25646.321820,0.9568
0.1340,2.040252,25429.842650,21128.878021,38034.020690,0.9838
0.1360,1.986372,27096.948871,18883.669009,33992.590588,1.0075
0.1380,1.822162,24487.250471,7451.898617,13415.239673,1.0237
0.1400,1.454297,17452.729907,17417.730730,31353.369611,1.0461
0.1420,1.568101,28453.229750,14571.515778,26230.296502,1.0713
0.1440,2.007324,18563.784208,4431.944746,7979.507866,1.0946
0.1460,1.348342,18951.378378,14027.076034,25250.085202,1.1201
0.1480,2.144161,22945.657267,18201.874072,32765.517490,1.1393
0.1500,1.478822,22973.489530,18230.660220,32816.667218,1.1703
0.1520,1.920454,18950.817666,14039.564344,25273.136273,1.1849
0.1540,1.936774,9278.475963,6585.457293,11855.759902,1.2017
0.1560,1.303081,21567.135733,9678.227784,17422.113092,1.2305
0.1580,1.745550,18535.886168,13479.844634,24265.465892,1.2628
0.1600,1.871362,18579.950380,4400.144666,7922.131761,1.2890
0.1620,2.600880,21547.868595,9675.495257,17418.492343,1.3087
0.1640,1.952559,23150.521243,18479.217593,33264.544227,1.3355
0.1660,1.677059,18674.641852,4185.505748,7535.587405,1.3601
0.1680,2.395578,14800.640559,14118.951147,25416.507641,1.3780
