t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0039
0.0060,0.495817,7016.848346,6197.716526,11156.385564,0.0163
0.0080,0.865545,24513.642907,20091.443065,36165.463061,0.0391
0.0100,0.155698,30247.550972,26758.571700,48165.584757,0.0558
0.0120,0.341495,13724.748747,12681.841573,22827.656326,0.0781
0.0140,0.735319,19049.274850,6056.210076,10901.913456,0.1107
0.0160,0.342093,19093.069668,14176.322392,25517.722399,0.1255
0.0180,0.104071,9606.169935,7078.924546,12742.168254,0.1419
0.0200,0.980018,22245.342668,11013.625078,19825.505158,0.1621
0.0220,0.187010,29480.112606,26105.704981,46990.455975,0.1621
0.0240,1.307089,10270.879811,8666.052206,15600.201060,0.1643
0.0260,0.534320,32597.291724,26337.951092,47408.846287,0.1772
0.0280,0.801659,18923.475492,13815.524336,24868.745464,0.1845
0.0300,0.432841,30895.922011,28097.464025,50575.868086,0.2037
0.0320,1.245432,18816.249178,13939.427323,25092.214613,0.2070
0.0340,0.379017,26784.060887,25965.824012,46738.862239,0.2113
0.0360,0.951812,21278.494251,9274.026763,16694.199986,0.2228
0.0380,0.127864,31461.158218,28765.519579,51778.063106,0.2186
0.0400,1.182082,8820.005543,6146.630960,11065.117809,0.2234
0.0420,0.602405,33682.983911,27184.194467,48932.152446,0.2396
0.0440,0.909163,21112.698691,16123.697054,29023.563861,0.2498
0.0460,0.587053,30882.036471,28076.159117,50537.673463,0.2720
0.0480,1.133797,18813.496061,13919.909955,25056.971716,0.2783
0.0500,0.229147,26768.797042,25955.224059,46719.632454,0.2851
0.0520,1.103114,21269.575282,9247.647816,16646.869183,0.3003
0.0540,0.077774,31448.927201,28740.541413,51733.052317,0.2993
0.0560,1.071648,8810.671262,6149.903270,11070.897534,0.3007
0.0580,0.502860,32565.041253,26288.704296,47320.170592,0.3119
0.0600,0.993227,18917.322795,13779.852453,24804.727643,0.3046
0.0620,0.198419,25957.147065,25151.032177,45272.056338,0.3000
0.0640,1.103774,21569.010895,9327.784671,16791.116183,0.3055
0.0660,0.176674,30811.540251,27984.840477,50372.889533,0.3078
0.0680,1.143098,18864.639150,13963.101102,25134.725082,0.3208
0.0700,0.189062,34792.322201,32416.297798,58349.525098,0.3161
0.0720,1.326034,8147.315357,4983.032516,8970.784563,0.3130
0.0740,0.440125,35717.063915,30195.088204,54351.598893,0.3202
0.0760,1.079191,18408.023456,13207.092816,23773.846260,0.3098
0.0780,0.210634,29859.606455,29195.843896,52552.729647,0.3013
0.0800,1.316036,21012.045060,8308.540869,14956.689600,0.3031
0.0820,0.130793,34254.370641,31672.468196,57010.573546,0.3015
0.0840,1.219884,18440.174588,13234.260641,23822.889038,0.3107
0.0860,0.113768,34795.748725,32415.678255,58348.334627,0.3023
0.0880,1.240614,8142.988752,4986.181675,8976.367629,0.2951
0.0900,0.404454,35714.693627,30189.503587,54341.510910,0.2986
0.0920,1.162971,18404.777510,13194.710905,23751.642599,0.2940
0.0940,0.204204,30998.084023,30509.290249,54916.926652,0.2964
0.0960,1.251845,11270.246615,9954.457797,17919.275879,0.2947
0.0980,0.415543,31344.072259,28623.022056,51521.855243,0.3043
0.1000,0.887718,18910.293347,13745.815071,24743.354846,0.3107
0.1020,0.468011,27693.220041,24501.821848,44103.747338,0.3277
0.1040,0.204529,18728.930069,13651.714656,24573.290910,0.3271
0.1060,0.416494,9603.753649,7136.535255,12846.179953,0.3285
0.1080,0.335307,21539.552822,9597.144461,17275.195336,0.3402
0.1100,0.366380,18951.937338,13934.823359,25083.048426,0.3347
0.1120,0.318139,9197.435616,6565.437243,11818.105177,0.3300
0.1140,0.281971,21125.731808,8255.006496,14859.293665,0.3365
0.1160,0.258078,18902.888347,13572.112987,24430.061454,0.3249
0.1180,0.313593,8448.133095,5813.494611,10464.603893,0.3157
0.1200,0.306111,20968.242128,8897.836390,16016.411612,0.3164
0.1220,0.244560,18594.455233,13715.990723,24689.027861,0.3147
0.1240,0.362426,18587.676654,13710.288991,24678.882610,0.3227
0.1260,0.181544,18595.009651,13714.422798,24686.142580,0.3141
0.1280,0.320087,9224.770267,6310.466816,11359.160356,0.3064
0.1300,0.300871,21558.328189,9002.154952,16204.179784,0.3101
0.1320,0.263689,18898.379735,13562.916155,24413.512768,0.3098
0.1340,0.362688,18892.347507,13558.613907,24405.867721,0.3208
0.1360,0.216723,18899.260821,13562.725694,24413.122971,0.3136
0.1380,0.242448,8446.805568,5816.986108,10470.817442,0.3079
0.1400,0.358797,20847.603657,8266.341726,14879.773904,0.3124
0.1420,0.182497,18945.506134,13912.046586,25041.866352,0.2999
0.1440,0.293107,9186.259522,6566.672730,11820.304021,0.3041
0.1460,0.106595,26263.415117,5303.588160,9546.565282,0.3057
0.1480,0.935024,24235.196949,12708.556097,22876.335998,0.2995
0.1500,0.336604,22752.640086,17656.834205,31782.638173,0.2989
0.1520,0.136038,19097.750941,5296.677906,9534.156269,0.2892
0.1540,0.162944,5654.768454,5576.100903,10037.144570,0.2973
0.1560,0.116881,25795.566556,4368.842964,7864.034216,0.3009
0.1580,0.836469,24058.695550,13009.264785,23417.513082,0.2985
0.1600,0.269027,22635.694977,17936.579023,32286.111269,0.3000
0.1620,0.020119,18478.942689,5109.721098,9197.518095,0.2929
0.1640,0.185103,4630.691328,4420.381242,7956.871338,0.2882
0.1660,0.568876,9189.069611,6558.349464,11805.597911,0.2809
0.1680,0.157854,18925.700167,13886.443628,24995.756385,0.2840
