trial_index,condition,liquid_tau,use_wrist_pid,avg_ee_speed,max_ee_speed,avg_pos_error,max_pos_error,avg_tube_tilt_error_deg,max_tube_tilt_error_deg,avg_mix_angle_deg,max_mix_angle_deg,integrated_mix_score,sim_time_s
0,no_pid,0.15,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.327294884780223,31.931828524417902,18.327294884780223,31.931828524417902,97.17131747910474,5.301999999999638
1,no_pid,0.18775510204081633,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.28724876325826,31.829462956280075,18.28724876325826,31.829462956280075,96.95899294279529,5.301999999999638
2,no_pid,0.22551020408163264,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.258609835898774,31.78369924909743,18.258609835898774,31.78369924909743,96.8071493499353,5.301999999999638
3,no_pid,0.26326530612244897,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.237654919036828,31.7718931006055,18.237654919036828,31.7718931006055,96.69604638073326,5.301999999999638
4,no_pid,0.3010204081632653,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.22197387645964,31.777641301202095,18.22197387645964,31.777641301202095,96.61290549298901,5.301999999999638
5,no_pid,0.3387755102040816,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.210019034729104,31.79182551615079,18.210019034729104,31.79182551615079,96.54952092213371,5.301999999999638
6,no_pid,0.376530612244898,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.20078372594908,31.808774061960328,18.20078372594908,31.808774061960328,96.50055531498202,5.301999999999638
7,no_pid,0.41428571428571426,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.193595302776775,31.828874795578578,18.193595302776775,31.828874795578578,96.46244229532246,5.301999999999638
8,no_pid,0.4520408163265306,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.187989632469755,31.847877451959594,18.187989632469755,31.847877451959594,96.43272103135465,5.301999999999638
9,no_pid,0.4897959183673469,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.18363632047459,31.86329440112772,18.18363632047459,31.86329440112772,96.40963977115628,5.301999999999638
10,no_pid,0.5275510204081633,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.180293376936966,31.880734775176546,18.180293376936966,31.880734775176546,96.3919154845198,5.301999999999638
11,no_pid,0.5653061224489796,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.177778892921737,31.89421836403977,18.177778892921737,31.89421836403977,96.37858369027104,5.301999999999638
12,no_pid,0.6030612244897959,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.17595280789889,31.904016865081704,18.17595280789889,31.904016865081704,96.36890178747991,5.301999999999638
13,no_pid,0.6408163265306123,0,0.38879629467167787,1.3484354594408072,0.08065120566967458,0.2927882442891862,18.17470486654791,31.910666427345937,18.17470486654791,31.910666427345937,96.36228520243702,5.301999999999638
