trial_index,condition,ori_weight,use_6d_ik,avg_ee_speed,max_ee_speed,avg_pos_error,max_pos_error,avg_mix_angle_deg,max_mix_angle_deg,integrated_mix_score,sim_time_s
0,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
1,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
2,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
3,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
4,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
5,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
6,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
7,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
8,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
9,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
10,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
11,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
12,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
13,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
14,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
15,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
16,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
17,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
18,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
19,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
20,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
21,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
22,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
